Time(s),Pitch_Normalized,Delta_Pitch_Smoothed,Label
0.046,5.33983285300674,-0.8454986056007329,0
0.095,4.418558651551692,-0.9334406744706195,0
0.146,3.436660598509448,-1.0133518182177323,0
0.195,2.3439604023917013,-1.082764159945146,0
0.245,1.112339825003076,-1.1380511810529046,0
0.295,-0.26081119381697704,-1.175183591211119,0
0.345,-1.7536298745173866,-1.3094980919644044,0
0.395,-3.3222804265544283,-1.3256627423604173,0
0.445,-4.9026277764694015,-1.302551702230943,0
0.495,-6.41200305910445,-1.232281381215182,0
0.546,-7.755148066637304,-1.1147469363183788,0
0.595,-8.83806877205248,-0.9576817742530139,0
0.646,-9.588856423799982,-0.7746446626242858,0
0.695,-9.97885340976012,-0.5817879118149107,0
0.745,-10.035129538180712,-0.39463208607102446,0
0.795,-9.837628936347116,-0.22579859708957314,0
0.845,-9.500076500760244,-0.0839621857472153,0
0.895,-9.140159544703536,0.0262883437188421,0
0.944,-8.848948637179646,0.10412219693045018,0
0.994,-8.669989030000181,0.1519437191078609,0
1.044,-8.594769924109457,0.17478444600559015,0
1.094,-8.57518533486406,0.17963916003801045,0
1.145,-8.54763445449548,0.17469759849238783,0
1.195,-8.459416218681511,0.16837386260713033,0
1.245,-8.28728507812481,0.16811732124160556,0
1.295,-8.041237335967011,0.17920395569338723,0
1.344,-7.7531005158363655,0.20390758833518277,0
1.394,-7.456420918632233,0.2414300247336513,0
1.444,-7.16777542476359,0.28862932410794,0
1.494,-6.877949473066309,0.3411047201581667,0
1.544,-6.555694040757629,0.3939901959526921,0
1.594,-6.1608850875275465,0.44214559045280877,0
1.644,-5.66134121341608,0.48006069039073224,0
1.694,-5.048369017099844,0.5021011565249054,0
1.743,-4.3473831185978895,0.5034046068311128,0
1.793,-3.6197814314389234,0.4810885151246339,0
1.843,-2.952493611929043,0.4350613493308245,0
1.893,-2.4354093533831787,0.36795034346629196,0
1.942,-2.133729356452463,0.2842792539157898,0
1.993,-2.06706432181997,0.1895588773575426,0
2.042,-2.205080547449384,0.08996690577282748,0
2.092,-2.481381652864627,-0.007273954246683445,0
2.143,-2.8185486742581816,-0.09344997301618604,0
2.192,-3.1527802435244183,-0.15875003003806826,0
2.242,-3.4477140608696146,-0.19392984008674574,0
2.292,-3.692520973905758,-0.19282136302940955,0
2.342,-3.8869933420909035,-0.15470094774511978,0
2.392,-4.022909653763861,-0.08558412896599635,0
2.442,-4.07302775731992,0.0020542119246172775,0
2.492,-3.9952779521140656,0.09125416169192561,0
2.542,-3.752090024900582,0.1641695324232046,0
2.591,-3.3372229425245905,0.20697790034595584,0
2.641,-2.798006555012009,0.21521721014755996,0
2.691,-2.240238626605162,0.19792203797024682,0
2.741,-1.8060187366375686,0.1786383048836612,0
2.792,-1.6227419704461994,0.19207684454689514,0
2.841,-1.7348212406153039,0.2766949866282715,0
2.891,-2.043689274061393,0.4651490845876978,0
2.941,-2.2866447084833084,0.7755565903431361,0
2.992,-2.0745095066451142,1.206384589247616,0
3.041,-0.9851401586178667,1.7365063008883936,0
3.091,1.3142679033523876,2.3299307018947983,0
3.141,4.957559348419352,2.9427163830919363,0
3.19,9.823607265870997,3.5287334434977398,0
3.242,15.559044272246368,4.0420949254156415,1
3.291,21.676565048501786,4.436859676319899,1
3.34,27.692342590304058,4.667130930795899,1
3.391,33.243645160916,4.690911268497022,1
3.441,38.13430454567311,4.478584218500072,1
3.491,42.29408725655387,4.023182136593707,1
3.541,45.686169149341126,3.347099523800749,1
3.59,48.223380588322605,2.5006019053404245,1
3.641,49.74340153342007,1.5515683870899388,1
3.691,50.05542863180807,0.5710127794614024,1
3.74,49.03003951025386,-0.3786962671760918,2
3.789,46.68258410190603,-1.2482487068196129,2
3.84,43.208026461203445,-1.998824280919385,2
3.889,38.95377295553003,-2.5970734570744254,2
3.939,34.34734187391219,-3.012990734423685,2
3.989,29.811600188357744,-3.2234449540088574,2
4.039,25.697926340147276,-3.21987894493249,2
4.089,22.25264601757835,-3.0154091653051,2
4.139,19.61349418918322,-2.6464719584058636,2
4.189,17.820979091719494,-2.1672811786481807,2
4.24,16.83125006092896,-1.6392768554206179,2
4.289,16.528492448855033,-1.1198415173138478,2
4.34,16.74330687714481,-0.6540771401191805,2
4.39,17.28096116904822,-0.2713046013771958,2
4.44,17.954573319706014,0.01441185289043645,3
4.49,18.613185015219265,0.2017551541785565,1
4.54,19.157154938955472,0.29941491384061647,1
4.589,19.53960000380639,0.3235433069756567,1
4.639,19.757612718087586,0.2948870839987151,1
4.689,19.83853063350506,0.23531374463403623,1
4.738,19.825399199335124,0.16430849716130708,1
4.788,19.7639255186116,0.09644573837746222,1
4.838,19.692177717131962,0.04048066877447454,3
4.888,19.63409861538858,-1.602180145425791e-05,3
4.938,19.597658291319085,-0.025106902728823856,3
4.988,19.577642398993888,-0.03678596105955663,3
5.039,19.561961626700217,-0.037679321754145435,3
5.088,19.53943978579185,-0.03034245925159098,3
5.138,19.506543690799347,-0.01704920952760176,3
5.188,19.470671022909492,0.00016838498782476564,3
5.238,19.44860598179367,0.019451230220493443,3
5.288,19.46050092609569,0.03911669520199155,3
5.338,19.521685621855944,0.05769328002383887,3
5.388,19.63578246526683,0.07387949249414519,3
5.438,19.79217059352402,0.08638376783480624,1
5.488,19.968809351013803,0.09374143762726703,1
5.538,20.138894426938606,0.09429690139790665,1
