Time(s),Pitch_Normalized,Delta_Pitch_Smoothed,Label
0.028,-0.5257628903483038,0.10563930083806668,0
0.078,-0.43823411267628387,0.11766809525938271,0
0.128,-0.3251277814732987,0.12080448391408538,0
0.178,-0.1752770138057116,0.11381838141366174,0
0.227,0.0024336138420295583,0.09760491278595237,0
0.277,0.18024568120799245,0.07501514108654135,0
0.327,0.31986849705029385,0.05519780555310092,0
0.377,0.3847841609609901,0.02421106972551428,0
0.427,0.3526813247252676,-0.00661190589243148,0
0.477,0.22438852051710967,-0.03439617362769241,0
0.527,0.02621516518270539,-0.05674284681312684,0
0.577,-0.1961234154211411,-0.07209440162656477,0
0.627,-0.3912468403976135,-0.07948354815870147,0
0.677,-0.5192387500826356,-0.07786179432398228,0
0.727,-0.5649948542892389,-0.06568881960005087,0
0.777,-0.5406983350576553,-0.04136513249309104,0
0.827,-0.4749669845367208,-0.004426303982909019,0
0.877,-0.3938337822788327,0.0432434776729778,0
0.926,-0.30420687127524104,0.09703568286398792,0
0.976,-0.18926280441380072,0.1504500544667607,0
1.026,-0.0180478746463848,0.1967854304976342,0
1.076,0.23631136130863695,0.2308480447723255,0
1.126,0.5791099882422657,0.24987316657562672,0
1.176,0.9852617945849715,0.2533819528072243,0
1.226,1.402859450687103,0.24233116489967585,0
1.276,1.7677821126656,0.21821453197402718,0
1.326,2.0237646812195464,0.1825941408641114,0
1.376,2.1399857457934104,0.13711581540440249,0
1.426,2.1191047777215175,0.08376729758452797,0
1.476,1.992882515326471,0.02513929996462281,0
1.526,1.8078935339947293,-0.03542049614392369,0
1.575,1.607469515352662,-0.09385838035373269,0
1.625,1.4167829640875453,-0.14582703488091936,0
1.675,1.2366547942311996,-0.18748719160044516,0
1.725,1.0486544892478662,-0.2164204148791214,0
1.774,0.8291983091282731,-0.2322206110177575,0
1.824,0.5654943324103527,-0.23647545054103034,0
1.874,0.2651138297889588,-0.23210699049513012,0
1.924,-0.045099371069696303,-0.22228265435816325,0
1.975,-0.32932359485110396,-0.2093419746198279,0
2.024,-0.5568609714155741,-0.19426474755356224,0
2.075,-0.7136003895986391,-0.17691288327476967,0
2.124,-0.8060435794940872,-0.15675799316596795,0
2.173,-0.8567649519670795,-0.1335303854205847,0
2.223,-0.8939929862877563,-0.10740390877535617,0
2.273,-0.9399305236194238,-0.07871370749668642,0
2.325,-1.0020855992493267,-0.047496024424884806,0
2.373,-1.0701900244168883,-0.013246716265548741,0
2.424,-1.119138458823258,0.024840726319534667,0
2.474,-1.1164606698179682,0.0672731496813583,0
2.524,-1.0318212156644222,0.11374376312116823,0
2.574,-0.8460675522541266,0.16309443458836057,0
2.624,-0.5576363162987406,0.2137150600052351,0
2.674,-0.18403345515349656,0.2639991141571471,0
2.724,0.24344464492392603,0.31255979711296644,0
2.774,0.691013822264182,0.35830197808959385,0
2.823,1.1350650008030243,0.4007415420414645,0
2.873,1.569801117154583,0.44086505383957897,0
