Time(s),Raw_Roll,Raw_Pitch,Raw_Yaw,Filtered_Roll,Filtered_Pitch,Filtered_Yaw,Delta_Roll,Delta_Pitch,Delta_Yaw
0.048,-57.0,-84.8,-57.0,-57.0,-84.8,-57.0,0.0,0.0,0.0
0.098,-56.7,-84.7,-56.7,-56.76,-84.72,-56.76,0.24,0.08,0.24
0.148,-55.7,-84.7,-55.7,-55.912,-84.704,-55.912,0.848,0.016,0.848
0.196,-55.0,-84.7,-55.0,-55.1824,-84.7008,-55.1824,0.7296,0.0032,0.7296
0.247,-54.9,-84.7,-54.9,-54.9565,-84.7002,-54.9565,0.2259,0.0006,0.2259
0.296,-54.5,-84.7,-54.5,-54.5913,-84.7,-54.5913,0.3652,0.0001,0.3652
0.347,-54.3,-84.7,-54.3,-54.3583,-84.7,-54.3583,0.233,0.0,0.233
0.396,-54.0,-84.7,-54.0,-54.0717,-84.7,-54.0717,0.2866,0.0,0.2866
0.446,-54.0,-84.7,-54.0,-54.0143,-84.7,-54.0143,0.0573,0.0,0.0573
0.497,-54.0,-84.7,-54.0,-54.0029,-84.7,-54.0029,0.0115,0.0,0.0115
0.547,-53.7,-84.7,-53.7,-53.7606,-84.7,-53.7606,0.2423,0.0,0.2423
0.596,-53.8,-84.7,-53.8,-53.7921,-84.7,-53.7921,-0.0315,0.0,-0.0315
0.647,-53.6,-84.7,-53.6,-53.6384,-84.7,-53.6384,0.1537,0.0,0.1537
0.697,-52.9,-84.8,-52.9,-53.0477,-84.78,-53.0477,0.5907,-0.08,0.5907
0.747,-53.0,-84.8,-53.0,-53.0095,-84.796,-53.0095,0.0381,-0.016,0.0381
0.796,-53.0,-84.8,-53.0,-53.0019,-84.7992,-53.0019,0.0076,-0.0032,0.0076
0.845,-53.3,-84.8,-53.3,-53.2404,-84.7998,-53.2404,-0.2385,-0.0006,-0.2385
0.896,-53.4,-84.8,-53.4,-53.3681,-84.8,-53.3681,-0.1277,-0.0001,-0.1277
0.946,-53.8,-84.9,-53.8,-53.7136,-84.88,-53.7136,-0.3455,-0.08,-0.3455
0.995,-54.4,-84.9,-54.4,-54.2627,-84.896,-54.2627,-0.5491,-0.016,-0.5491
1.046,-55.0,-84.9,-55.0,-54.8525,-84.8992,-54.8525,-0.5898,-0.0032,-0.5898
1.096,-55.4,-85.0,-55.4,-55.2905,-84.9798,-55.2905,-0.438,-0.0806,-0.438
1.146,-56.0,-85.0,-56.0,-55.8581,-84.996,-55.8581,-0.5676,-0.0161,-0.5676
1.196,-55.8,-85.2,-55.8,-55.8116,-85.1592,-55.8116,0.0465,-0.1632,0.0465
1.246,-55.2,-85.2,-55.2,-55.3223,-85.1918,-55.3223,0.4893,-0.0326,0.4893
1.296,-55.7,-85.2,-55.7,-55.6245,-85.1984,-55.6245,-0.3021,-0.0065,-0.3021
1.346,-55.9,-85.3,-55.9,-55.8449,-85.2797,-55.8449,-0.2204,-0.0813,-0.2204
