Time(s),Roll(deg),Pitch(deg),Yaw(deg)
0.003,19.52,-59.92,-40.39
0.053,19.63,-59.9,-40.54
0.103,19.8,-59.85,-40.8
0.153,19.9,-59.85,-41.02
0.203,20.01,-59.85,-41.24
0.253,20.07,-59.89,-41.41
0.303,20.15,-59.99,-41.58
0.353,20.18,-60.12,-41.75
0.403,20.01,-60.34,-41.69
0.452,19.75,-60.61,-41.52
0.502,19.41,-60.94,-41.3
0.552,18.94,-61.28,-40.87
0.602,18.55,-61.64,-40.49
0.652,18.08,-61.97,-40.02
0.703,17.62,-62.27,-39.52
0.752,17.22,-62.58,-39.03
0.802,17.05,-62.85,-38.72
0.852,17.02,-63.04,-38.48
0.902,17.1,-63.25,-38.3
0.952,17.28,-63.46,-38.13
1.002,17.43,-63.71,-37.89
1.052,17.54,-64.01,-37.54
1.102,17.63,-64.33,-37.17
1.152,17.52,-64.72,-36.66
1.201,17.3,-65.09,-36.11
1.251,17.07,-65.52,-35.52
1.301,16.82,-65.97,-34.84
1.351,16.52,-66.49,-34.08
1.401,16.15,-67.02,-33.15
1.451,15.93,-67.6,-32.38
1.501,15.64,-68.08,-31.43
1.551,15.71,-68.91,-30.8
1.601,15.24,-69.3,-29.84
1.651,14.71,-69.72,-28.95
1.701,14.68,-69.94,-28.52
1.750,14.35,-70.12,-28.04
1.800,13.32,-70.59,-26.84
1.850,12.62,-70.96,-25.96
1.900,12.11,-71.5,-25.4
1.950,11.6,-71.89,-24.77
2.000,11.56,-72.19,-24.57
2.050,11.4,-72.43,-24.34
2.100,12.06,-72.92,-24.66
2.150,13.29,-73.36,-25.2
2.200,14.08,-73.83,-25.36
2.250,14.34,-74.27,-25.5
2.300,14.66,-74.65,-25.87
2.349,14.97,-75.02,-26.13
2.400,15.36,-75.28,-26.5
2.449,15.77,-75.63,-26.8
2.499,15.82,-75.82,-26.69
2.549,15.67,-75.93,-26.5
2.600,15.51,-76.04,-26.35
2.649,15.41,-76.04,-26.3
2.699,15.35,-76.04,-26.28
2.749,15.33,-75.96,-26.32
2.799,15.3,-75.89,-26.35
2.849,15.22,-75.83,-26.19
2.899,15.0,-75.8,-25.94
2.949,14.89,-75.8,-25.79
2.999,14.74,-75.79,-25.67
3.049,14.58,-75.82,-25.49
3.098,14.38,-75.85,-25.29
3.148,14.29,-75.91,-25.12
3.199,14.24,-75.96,-25.06
3.248,14.04,-76.02,-24.83
3.298,13.95,-76.09,-24.76
3.348,13.97,-76.12,-24.73
3.398,14.18,-76.1,-24.89
3.448,14.68,-75.97,-25.3
3.498,15.56,-75.81,-26.12
3.548,16.83,-75.66,-27.31
3.598,18.28,-75.44,-28.73
3.647,19.81,-75.14,-30.22
3.697,21.45,-74.76,-31.82
3.747,23.15,-74.29,-33.49
3.797,24.9,-73.79,-35.28
3.847,26.64,-73.14,-37.08
3.897,28.66,-72.41,-39.22
