Time(s),Roll(deg),Pitch(deg),Yaw(deg)
0.046,24.66,-74.42,-58.66
0.096,24.76,-74.41,-58.75
0.146,24.66,-74.4,-58.73
0.196,24.73,-74.4,-58.86
0.246,24.82,-74.42,-58.92
0.296,24.76,-74.43,-58.97
0.346,24.9,-74.47,-59.17
0.396,25.55,-74.59,-59.83
0.446,26.32,-74.81,-60.38
0.496,26.41,-74.93,-60.43
0.547,26.32,-75.25,-60.14
0.596,25.84,-75.42,-59.51
0.646,25.14,-75.59,-58.79
0.696,24.45,-75.7,-58.06
0.746,23.81,-75.88,-57.37
0.796,23.45,-76.13,-56.97
0.845,23.73,-76.58,-56.85
0.895,24.08,-76.92,-56.75
0.944,25.06,-77.41,-57.18
0.994,25.92,-77.78,-57.44
1.044,26.62,-78.19,-57.82
1.094,27.47,-78.56,-58.26
1.145,28.06,-78.77,-58.51
1.194,27.93,-78.97,-58.24
1.245,27.63,-79.15,-57.78
1.295,26.8,-79.25,-56.84
1.345,25.82,-79.43,-55.74
1.395,24.28,-79.51,-54.01
1.444,22.55,-79.63,-52.07
1.494,20.18,-79.69,-49.41
1.544,17.57,-79.7,-46.57
1.595,14.7,-79.6,-43.4
1.643,11.53,-79.48,-39.99
1.694,8.02,-79.21,-36.14
1.744,3.94,-78.72,-31.76
1.794,-0.73,-78.0,-26.8
1.844,-5.78,-76.94,-21.45
1.893,-10.83,-75.61,-16.16
1.943,-15.59,-74.0,-11.05
1.994,-19.75,-72.19,-6.5
2.043,-22.89,-70.23,-2.94
2.093,-25.47,-68.3,0.34
2.142,-27.4,-66.43,2.88
2.192,-28.8,-64.87,5.22
2.243,-29.93,-63.03,7.1
2.292,-31.05,-61.14,9.31
2.342,-32.47,-59.17,12.23
2.392,-33.56,-56.76,15.4
2.442,-34.16,-53.99,18.16
2.492,-34.08,-50.81,20.85
2.542,-33.35,-47.5,22.96
2.592,-32.71,-43.8,23.99
2.642,-31.89,-40.11,25.07
2.692,-31.34,-36.75,26.24
2.742,-31.07,-33.36,27.19
2.792,-30.67,-29.6,27.68
2.841,-30.14,-24.91,27.24
2.891,-28.98,-20.21,26.31
2.941,-27.44,-15.11,25.65
2.991,-26.36,-10.81,25.06
3.041,-25.85,-7.96,24.97
3.091,-26.26,-4.96,25.09
3.141,-26.53,-2.34,24.85
3.191,-26.75,0.76,24.76
3.240,-26.74,3.28,24.85
3.290,-25.98,5.55,25.11
3.340,-25.19,8.56,25.5
3.390,-24.66,12.05,25.81
3.440,-24.43,14.36,26.08
3.490,-24.39,15.38,26.18
3.540,-24.35,15.66,26.17
3.590,-24.51,15.62,26.26
3.641,-24.41,14.95,26.5
3.691,-24.33,14.58,26.89
3.741,-24.34,14.09,27.19
3.791,-24.27,13.75,27.41
3.841,-24.16,13.15,27.58
3.890,-23.91,12.5,27.7
3.939,-23.77,11.81,27.71
3.989,-23.7,10.99,27.59
4.039,-23.49,9.7,27.44
4.089,-23.41,7.96,27.38
4.140,-23.42,5.46,27.31
4.190,-23.43,2.12,27.24
4.239,-23.56,-1.36,27.23
4.290,-23.84,-4.96,27.16
4.340,-24.12,-9.08,27.09
4.389,-24.42,-13.6,26.97
4.440,-24.69,-18.54,27.0
4.489,-25.35,-23.21,27.03
4.540,-26.06,-27.79,26.98
4.589,-26.8,-32.16,26.83
4.639,-27.45,-36.53,26.27
4.689,-27.95,-40.75,25.65
4.738,-28.25,-44.37,24.7
4.788,-28.46,-47.91,23.61
4.838,-28.66,-51.36,22.28
4.888,-28.75,-54.69,20.95
4.938,-28.5,-57.85,19.33
4.989,-27.76,-60.91,17.35
5.039,-26.86,-64.2,15.6
5.089,-25.97,-67.32,14.6
5.138,-24.64,-70.29,13.82
5.188,-23.31,-72.85,13.11
5.237,-21.3,-75.32,11.58
5.287,-19.05,-77.47,9.33
5.337,-15.87,-79.46,6.3
5.387,-11.51,-81.36,1.7
5.437,-5.43,-83.03,-4.53
5.487,4.7,-84.41,-14.75
5.537,19.34,-85.26,-29.69
5.587,38.13,-85.68,-48.88
5.637,54.57,-85.5,-65.93
5.687,66.08,-85.0,-78.01
5.737,72.31,-84.4,-84.59
5.787,74.19,-83.85,-86.76
5.837,72.65,-83.12,-85.73
5.886,69.91,-82.37,-83.48
5.937,65.95,-81.5,-80.08
5.987,62.05,-80.63,-76.84
6.037,58.42,-79.79,-73.85
6.086,55.53,-79.0,-71.55
6.136,53.13,-78.3,-69.7
6.186,50.51,-77.64,-67.43
6.236,48.58,-77.13,-65.94
6.286,46.69,-76.6,-64.39
6.336,44.48,-76.16,-62.62
6.386,42.3,-75.76,-61.02
6.436,40.75,-75.3,-59.92
6.486,40.0,-74.53,-59.66
6.535,39.78,-73.72,-59.62
6.585,40.26,-73.33,-59.98
6.635,39.61,-72.89,-59.82
6.685,39.06,-72.64,-59.64
6.735,38.78,-72.45,-59.53
6.785,38.23,-72.31,-59.33
6.835,37.88,-72.28,-59.17
6.885,37.73,-72.22,-59.02
6.935,37.59,-72.2,-58.89
6.985,37.52,-72.21,-58.84
7.035,37.67,-72.25,-58.94
7.085,37.81,-72.24,-59.12
7.135,37.81,-72.13,-59.07
7.185,37.91,-71.96,-59.2
7.235,38.05,-71.77,-59.33
7.285,38.04,-71.53,-59.38
