Time(s),Raw_Roll,Raw_Pitch,Raw_Yaw,Filtered_Roll,Filtered_Pitch,Filtered_Yaw,Delta_Roll,Delta_Pitch,Delta_Yaw
0.037,63.0,-74.9,-47.1,63.0,-74.9,-47.1,0.0,0.0,0.0
0.088,63.1,-75.0,-47.0,63.08,-74.98,-47.02,0.08,-0.08,0.08
0.138,63.1,-75.2,-46.8,63.096,-75.156,-46.844,0.016,-0.176,0.176
0.188,63.2,-75.5,-46.7,63.1792,-75.4312,-46.7288,0.0832,-0.2752,0.1152
0.237,63.6,-76.0,-46.8,63.5158,-75.8862,-46.7858,0.3366,-0.455,-0.057
0.286,63.9,-76.5,-46.8,63.8232,-76.3772,-46.7972,0.3073,-0.491,-0.0114
0.336,64.0,-77.1,-46.7,63.9646,-76.9554,-46.7194,0.1415,-0.5782,0.0777
0.386,64.1,-77.9,-46.5,64.0729,-77.7111,-46.5439,0.1083,-0.7556,0.1755
0.436,64.0,-78.7,-46.0,64.0146,-78.5022,-46.1088,-0.0583,-0.7911,0.4351
0.486,64.1,-79.5,-45.7,64.0829,-79.3004,-45.7818,0.0683,-0.7982,0.327
0.537,64.5,-80.4,-45.9,64.4166,-80.1801,-45.8764,0.3337,-0.8796,-0.0946
0.587,64.5,-81.3,-45.7,64.4833,-81.076,-45.7353,0.0667,-0.8959,0.1411
0.636,64.5,-82.2,-45.6,64.4967,-81.9752,-45.6271,0.0133,-0.8992,0.1082
0.686,65.0,-83.0,-45.7,64.8993,-82.795,-45.6854,0.4027,-0.8198,-0.0584
0.736,66.8,-83.7,-46.9,66.4199,-83.519,-46.6571,1.5205,-0.724,-0.9717
0.785,70.2,-84.3,-49.5,69.444,-84.1438,-48.9314,3.0241,-0.6248,-2.2743
0.835,75.4,-84.8,-53.8,69.7418,-84.6688,-52.8263,0.2978,-0.525,-3.8949
0.886,81.8,-85.2,-59.6,70.3447,-85.0938,-53.165,0.6029,-0.425,-0.3387
0.935,86.5,-85.5,-63.5,71.1525,-85.4188,-53.6817,0.8078,-0.325,-0.5168
0.985,88.8,-85.7,-65.0,72.0348,-85.6438,-54.2476,0.8824,-0.225,-0.5659
1.036,91.6,-85.9,-67.0,73.0131,-85.8488,-54.8853,0.9783,-0.205,-0.6376
1.085,93.7,-86.3,-68.2,74.0474,-86.2098,-55.551,1.0343,-0.361,-0.6657
1.136,95.2,-86.6,-68.9,75.1051,-86.522,-56.2184,1.0576,-0.3122,-0.6675
1.185,95.7,-87.0,-68.7,76.1348,-86.9044,-56.8425,1.0297,-0.3824,-0.6241
1.235,95.7,-87.4,-68.0,77.1131,-87.3009,-57.4004,0.9783,-0.3965,-0.5579
1.285,96.2,-87.8,-67.9,78.0674,-87.7002,-57.9254,0.9543,-0.3993,-0.525
1.336,97.2,-88.1,-68.3,79.024,-88.02,-58.4441,0.9566,-0.3199,-0.5187
1.385,96.9,-88.4,-67.5,79.9178,-88.324,-58.8969,0.8938,-0.304,-0.4528
1.435,99.9,-88.7,-69.9,80.9169,-88.6248,-59.4471,0.9991,-0.3008,-0.5502
1.485,104.2,-89.1,-73.6,82.0811,-89.005,-60.1547,1.1642,-0.3802,-0.7076
1.536,107.7,-89.1,-76.6,83.362,-89.081,-60.977,1.2809,-0.076,-0.8223
1.585,117.8,-89.9,-86.3,85.0839,-89.7362,-62.2431,1.7219,-0.6552,-1.2662
1.635,133.8,-89.4,-101.8,87.5197,-89.4672,-64.221,2.4358,0.269,-1.9778
1.684,152.3,nan,-120.1,90.7588,nan,-67.0149,3.239,nan,-2.794
1.735,174.0,-89.3,-141.0,94.9208,nan,-70.7142,4.1621,nan,-3.6993
1.784,-164.1,-89.5,-162.6,81.9698,nan,-75.3085,-12.951,nan,-4.5943
1.833,-150.4,nan,-176.3,70.3513,nan,-80.358,-11.6185,nan,-5.0496
1.885,-145.6,-89.3,179.4,59.5537,nan,-67.3701,-10.7976,nan,12.9879
1.934,-139.5,-89.3,173.4,49.601,nan,-55.3316,-9.9527,nan,12.0385
1.985,-135.1,-89.3,169.2,40.366,nan,-44.105,-9.2351,nan,11.2266
2.035,-128.3,-89.5,162.4,31.9327,nan,-33.7798,-8.4333,nan,10.3253
2.084,-125.2,-89.2,159.5,24.0761,nan,-24.1158,-7.8566,nan,9.664
2.134,-126.2,-89.3,160.5,16.5623,nan,-14.885,-7.5138,nan,9.2308
2.183,-125.7,-89.0,160.0,9.4491,nan,-6.1408,-7.1131,nan,8.7443
2.235,-122.5,-88.7,156.9,2.8517,nan,2.0113,-6.5975,nan,8.152
2.284,-120.6,-88.7,155.0,-3.3209,nan,9.6607,-6.1726,nan,7.6494
2.333,-116.9,-88.4,151.3,-8.9999,nan,16.7427,-5.679,nan,7.082
2.384,-113.5,-88.1,147.9,-14.2249,nan,23.3005,-5.225,nan,6.5579
2.434,-108.8,-87.9,143.1,-18.9536,nan,29.2905,-4.7288,nan,5.99
2.483,-102.3,-87.7,136.2,-23.1209,nan,34.636,-4.1673,nan,5.3455
2.533,-93.9,-87.4,127.4,-26.6599,nan,39.2742,-3.539,nan,4.6382
2.583,-86.0,-87.1,119.1,-29.6269,nan,43.2655,-2.967,nan,3.9913
2.634,-79.7,-86.7,112.5,-32.1306,nan,46.7272,-2.5037,nan,3.4617
2.684,-77.2,-86.4,109.9,-34.384,nan,49.8858,-2.2535,nan,3.1586
2.733,-79.4,-86.3,112.3,-36.6348,nan,53.0066,-2.2508,nan,3.1207
2.783,-81.3,-86.2,114.8,-38.8681,nan,56.0962,-2.2333,nan,3.0897
