Time(s),Roll(deg),Pitch(deg),Yaw(deg)
0.001,-1.55,-65.25,-52.47
0.053,22.75,-70.25,-26.33
0.103,22.53,-70.3,-25.9
0.153,22.15,-70.33,-25.39
0.203,21.34,-70.45,-24.28
0.253,20.27,-70.52,-23.03
0.303,19.69,-70.66,-22.51
0.353,19.53,-70.83,-22.31
0.402,19.79,-71.09,-22.46
0.452,20.0,-71.29,-22.4
0.502,19.91,-71.42,-22.15
0.553,19.39,-71.55,-21.6
0.601,18.67,-71.61,-20.9
0.652,17.74,-71.7,-20.0
0.702,16.76,-71.89,-18.91
0.752,16.03,-72.12,-18.02
0.802,15.52,-72.39,-17.25
0.852,14.96,-72.63,-16.38
0.902,14.43,-72.81,-15.53
0.952,13.74,-72.91,-14.54
1.002,13.03,-72.95,-13.6
1.051,12.02,-72.94,-12.49
1.101,10.88,-72.7,-11.35
1.151,10.0,-72.6,-10.37
1.201,9.4,-72.78,-9.69
1.251,8.73,-73.11,-8.99
1.301,8.08,-73.34,-8.37
1.351,7.45,-73.48,-7.87
1.400,7.15,-73.59,-7.67
1.450,7.03,-73.65,-7.58
1.501,6.96,-73.63,-7.5
1.550,6.83,-73.58,-7.37
1.600,6.59,-73.52,-7.14
1.650,6.43,-73.41,-7.0
1.700,6.32,-73.39,-7.0
1.750,6.23,-73.35,-6.95
1.800,6.25,-73.42,-7.08
1.850,6.21,-73.5,-7.12
1.900,5.93,-73.58,-6.95
1.950,5.61,-73.62,-6.7
2.000,5.4,-73.65,-6.59
2.049,5.23,-73.65,-6.47
2.100,5.13,-73.63,-6.43
2.149,5.03,-73.66,-6.33
2.199,4.9,-73.63,-6.19
2.249,4.84,-73.63,-6.12
2.299,4.77,-73.59,-5.98
2.349,4.69,-73.62,-5.87
2.399,4.58,-73.59,-5.7
2.449,4.45,-73.58,-5.53
2.499,4.23,-73.55,-5.26
2.549,3.95,-73.51,-4.96
2.599,3.75,-73.5,-4.74
2.649,3.57,-73.54,-4.52
2.699,3.29,-73.63,-4.18
2.748,2.93,-73.67,-3.79
2.798,2.51,-73.8,-3.35
2.848,2.06,-73.88,-2.84
2.898,1.73,-74.01,-2.43
2.948,1.48,-74.12,-1.99
2.998,1.16,-74.19,-1.58
3.048,0.78,-74.27,-1.1
3.098,0.4,-74.22,-0.69
3.147,-0.24,-74.08,-0.13
3.198,-1.13,-73.82,0.59
3.248,-2.29,-73.42,1.62
3.297,-3.69,-72.89,2.93
3.347,-4.57,-72.39,3.8
3.397,-5.59,-71.72,4.88
3.447,-6.92,-70.85,6.22
3.497,-8.49,-69.88,7.72
3.547,-10.07,-68.68,9.16
3.597,-12.0,-67.31,11.13
3.647,-14.01,-65.56,13.28
3.697,-15.88,-63.5,15.29
3.747,-17.32,-60.84,17.1
3.797,-18.6,-57.95,18.91
3.847,-19.49,-54.7,20.31
3.897,-20.08,-51.14,21.59
3.946,-20.48,-47.43,23.13
3.997,-20.71,-43.41,24.38
4.046,-20.76,-39.3,25.57
4.095,-20.45,-34.72,26.76
4.145,-20.04,-30.6,27.34
4.195,-19.46,-26.72,28.04
4.245,-18.51,-22.81,28.35
4.295,-17.48,-18.63,28.71
4.345,-17.03,-14.87,29.15
4.396,-16.41,-11.33,29.45
4.446,-15.41,-7.46,30.0
4.495,-14.72,-3.66,30.72
4.545,-13.58,-0.12,31.92
4.595,-12.04,2.79,33.11
4.645,-11.75,5.17,33.49
4.695,-11.82,7.23,33.99
4.745,-11.16,8.54,34.35
4.795,-9.91,9.79,34.74
4.845,-8.36,11.27,35.43
4.895,-7.59,11.86,35.67
4.945,-7.47,12.3,35.6
4.995,-6.88,12.97,35.89
5.044,-6.86,13.05,35.93
5.094,-7.31,12.78,35.92
5.144,-7.5,12.69,36.08
5.194,-7.84,12.4,36.06
5.244,-8.12,12.01,36.18
5.294,-8.05,11.53,36.35
5.344,-7.89,11.1,36.5
5.394,-7.58,10.81,36.49
5.444,-7.44,10.66,36.38
5.494,-7.22,10.57,36.29
5.544,-7.29,10.57,36.12
5.594,-7.43,10.58,36.13
5.644,-7.5,10.59,36.08
5.693,-7.65,10.69,36.19
5.743,-7.86,10.42,36.15
5.793,-7.85,10.19,36.22
5.842,-7.78,9.93,36.27
5.892,-7.6,9.74,36.46
5.942,-7.28,9.46,36.7
5.993,-6.95,9.34,36.8
6.042,-6.55,9.5,36.99
6.092,-6.37,9.8,37.26
6.142,-6.23,10.02,37.6
6.192,-6.17,10.17,37.86
6.242,-6.23,10.1,38.07
6.292,-6.17,10.07,38.27
6.342,-6.11,10.0,38.53
6.392,-6.22,10.01,38.83
6.442,-6.43,9.88,39.15
6.492,-6.56,9.75,39.38
6.542,-6.52,9.78,39.59
6.592,-6.58,9.78,39.71
6.642,-6.58,9.89,39.87
6.692,-6.57,9.88,40.03
6.742,-6.44,9.89,40.15
6.792,-6.34,9.73,40.22
6.841,-6.12,9.55,40.33
6.892,-5.89,9.4,40.41
6.941,-5.62,9.27,40.44
6.991,-5.48,9.15,40.4
7.041,-5.4,9.04,40.43
7.091,-5.38,8.99,40.55
7.141,-5.41,9.04,40.7
7.191,-5.51,9.09,40.73
7.241,-5.57,9.17,40.73
7.291,-5.62,9.23,40.77
7.341,-5.73,9.37,40.86
7.391,-5.88,9.48,40.87
7.441,-5.94,9.5,40.92
7.491,-5.97,9.56,41.06
7.541,-5.94,9.59,41.1
7.590,-5.91,9.5,41.14
7.640,-5.84,9.41,41.2
7.690,-5.74,9.24,41.36
7.740,-5.64,8.99,41.41
7.790,-5.46,8.74,41.43
7.840,-5.2,8.57,41.47
7.890,-4.98,8.44,41.56
7.940,-4.98,8.4,41.65
7.990,-5.06,8.27,41.76
8.040,-5.14,8.05,41.82
8.090,-5.2,8.03,41.92
8.140,-5.3,8.04,42.02
8.189,-5.45,8.12,42.1
8.239,-5.47,8.27,42.19
8.289,-5.48,8.32,42.2
8.339,-5.54,8.42,42.27
8.389,-5.62,8.47,42.39
8.439,-5.61,8.44,42.47
8.489,-5.5,8.43,42.6
8.539,-5.39,8.32,42.73
8.589,-5.27,8.31,42.88
8.639,-5.21,8.31,43.06
8.689,-5.16,8.28,43.21
8.739,-5.07,8.3,43.39
8.788,-4.99,8.26,43.48
8.838,-4.92,8.35,43.56
8.888,-4.85,8.48,43.56
8.938,-4.89,8.49,43.49
8.988,-4.94,8.48,43.41
9.038,-4.97,8.5,43.31
9.088,-5.02,8.51,43.24
9.138,-5.04,8.56,43.24
9.188,-5.04,8.56,43.29
9.238,-4.89,8.59,43.37
9.288,-4.82,8.56,43.43
9.336,-4.77,8.59,43.6
9.388,-4.72,8.54,43.77
9.437,-4.67,8.51,43.92
9.487,-4.63,8.45,44.07
9.537,-4.61,8.38,44.24
9.587,-4.68,8.26,44.42
9.637,-4.79,8.2,44.67
9.687,-5.14,8.04,44.81
9.737,-5.53,7.5,45.05
9.787,-5.81,6.51,45.35
9.837,-6.1,5.58,45.62
9.887,-6.34,4.37,45.88
9.937,-6.5,3.16,46.18
9.986,-6.78,1.76,46.37
10.036,-7.12,0.22,46.63
10.086,-7.57,-1.57,46.86
10.136,-8.03,-3.39,47.12
10.186,-8.45,-5.47,47.29
10.236,-9.14,-7.96,47.16
10.287,-10.0,-10.45,46.91
10.336,-10.55,-13.02,46.5
10.386,-10.83,-15.54,46.05
10.436,-11.03,-17.93,45.63
10.486,-11.29,-20.2,45.23
10.536,-11.63,-22.41,44.82
10.586,-11.8,-24.81,44.6
10.636,-12.36,-27.5,44.38
10.686,-12.88,-30.01,44.13
