Time(s),Roll(deg),Pitch(deg),Yaw(deg)
10.736,-13.13,-32.71,43.76
10.786,-13.2,-35.29,43.34
10.836,-13.63,-37.88,42.87
10.886,-14.31,-40.74,42.42
10.936,-14.97,-43.8,41.98
10.985,-15.97,-46.63,41.71
11.035,-16.66,-48.83,41.72
11.085,-16.81,-50.8,42.18
11.135,-17.59,-53.09,42.56
11.185,-18.65,-55.26,42.79
11.235,-19.73,-57.57,43.09
11.285,-20.57,-59.83,43.3
11.335,-21.08,-61.84,43.53
11.385,-21.52,-63.86,43.81
11.435,-22.18,-65.78,44.34
11.485,-22.86,-67.61,44.92
11.535,-23.56,-69.29,45.37
11.584,-24.31,-70.84,45.93
11.634,-25.4,-72.26,46.67
11.684,-26.61,-73.62,47.73
11.734,-27.86,-74.74,48.8
11.784,-28.92,-75.76,49.79
11.834,-30.19,-76.8,50.94
11.884,-31.29,-77.76,51.83
11.934,-32.37,-78.69,52.75
11.984,-33.09,-79.58,53.2
12.034,-33.91,-80.46,53.82
12.084,-34.62,-81.18,54.25
12.134,-35.28,-81.74,54.52
12.183,-35.78,-82.31,54.69
12.233,-36.19,-82.82,54.69
12.283,-36.56,-83.27,54.6
12.333,-37.42,-83.75,55.07
12.383,-38.73,-84.29,56.05
12.433,-41.58,-84.89,58.69
12.483,-44.65,-85.5,61.46
12.533,-47.04,-86.01,63.39
12.583,-48.24,-86.2,64.2
12.633,-47.72,-86.35,63.3
12.683,-47.92,-86.54,63.13
12.733,-48.2,-86.66,63.04
12.782,-48.91,-86.89,63.52
12.833,-48.76,-87.0,63.21
12.883,-49.21,-87.04,63.5
12.932,-50.35,-87.27,64.53
12.982,-51.47,-87.32,65.54
13.032,-52.67,-87.44,66.69
13.082,-53.69,-87.57,67.58
13.132,-54.11,-87.75,67.94
13.182,-54.3,-87.76,68.01
13.232,-55.37,-87.71,69.01
13.281,-54.41,-87.62,67.95
13.331,-52.16,-87.41,65.51
13.382,-49.26,-87.39,62.48
13.432,-45.85,-87.13,58.81
13.482,-42.53,-86.97,55.25
13.531,-40.47,-86.79,52.91
13.581,-39.05,-86.6,51.24
13.631,-37.52,-86.48,49.45
13.681,-36.49,-86.42,48.14
13.731,-34.95,-86.2,46.31
13.781,-33.3,-86.04,44.36
13.831,-31.54,-85.97,42.27
13.881,-30.06,-85.87,40.51
13.931,-28.85,-85.82,38.9
13.981,-27.59,-85.79,37.22
14.031,-26.58,-85.86,35.77
14.081,-25.1,-85.81,33.89
14.130,-20.07,-85.64,28.24
14.180,-14.6,-85.51,21.88
14.230,-10.18,-85.09,16.55
14.280,-6.16,-84.63,11.48
14.330,-3.64,-84.2,7.97
14.379,-1.63,-83.85,5.07
14.429,-0.35,-83.38,2.98
14.479,1.29,-82.82,0.5
14.529,2.63,-82.2,-1.66
14.579,3.63,-81.59,-3.46
14.629,4.83,-81.11,-5.31
14.679,6.24,-80.62,-7.23
14.729,7.6,-80.25,-8.92
14.779,9.35,-79.88,-10.94
14.829,11.17,-79.58,-12.96
14.879,12.1,-79.14,-13.66
14.929,13.85,-78.8,-15.15
14.979,15.93,-78.63,-16.77
15.029,17.82,-78.31,-18.32
15.079,19.75,-77.93,-20.11
15.129,21.63,-77.52,-21.95
15.179,23.13,-77.17,-23.43
15.229,24.16,-76.93,-24.43
15.278,25.03,-76.73,-25.24
15.329,26.08,-76.65,-26.26
15.379,26.82,-76.51,-26.95
15.428,27.57,-76.44,-27.65
15.478,27.97,-76.38,-28.01
15.528,28.17,-76.3,-28.25
15.579,28.25,-76.27,-28.39
15.628,28.28,-76.24,-28.44
15.678,28.09,-76.15,-28.43
15.728,28.13,-76.06,-28.55
15.778,28.56,-75.99,-29.04
15.828,28.89,-75.94,-29.41
15.878,29.14,-75.81,-29.82
15.928,29.38,-75.65,-30.22
15.978,29.55,-75.52,-30.59
16.028,29.62,-75.39,-30.87
16.077,29.56,-75.28,-31.04
16.128,29.62,-75.16,-31.33
16.177,29.63,-75.09,-31.49
16.227,29.66,-74.99,-31.66
16.277,29.76,-74.9,-31.87
16.327,29.76,-74.81,-31.97
16.377,29.77,-74.72,-32.08
16.427,29.76,-74.66,-32.2
16.477,29.66,-74.59,-32.2
16.527,29.57,-74.49,-32.29
16.577,29.28,-74.4,-32.16
16.627,29.0,-74.3,-32.09
