Time(s),Roll(deg),Pitch(deg),Yaw(deg)
0.016,12.25,-70.24,-16.86
0.066,12.39,-70.44,-17.03
0.116,12.56,-70.63,-17.26
0.165,12.59,-70.73,-17.36
0.215,12.65,-70.87,-17.49
0.265,12.8,-70.99,-17.66
0.315,12.96,-71.15,-17.87
0.365,12.95,-71.3,-17.84
0.414,13.02,-71.35,-17.9
0.465,13.17,-71.46,-18.03
0.514,13.36,-71.56,-18.21
0.564,13.57,-71.66,-18.39
0.614,13.62,-71.72,-18.45
0.664,13.65,-71.76,-18.47
0.714,13.7,-71.8,-18.49
0.764,13.73,-71.83,-18.5
0.814,13.7,-71.93,-18.43
0.864,13.59,-72.02,-18.23
0.914,13.55,-72.18,-18.05
0.965,13.28,-72.43,-17.53
1.014,12.95,-72.47,-17.05
1.064,12.59,-72.57,-16.55
1.114,12.19,-72.76,-16.03
1.164,11.66,-72.92,-15.45
1.214,11.18,-73.2,-14.87
1.264,10.49,-73.46,-14.13
1.313,9.47,-73.79,-12.99
1.363,8.08,-74.04,-11.34
1.413,6.46,-74.26,-9.37
1.463,4.66,-74.39,-7.21
1.513,2.84,-74.41,-4.97
1.562,1.31,-74.61,-2.97
1.612,-0.32,-74.65,-0.84
1.662,-1.75,-74.67,0.85
1.712,-2.93,-74.89,2.45
1.762,-4.13,-75.21,4.1
1.811,-5.43,-75.39,5.84
1.861,-6.53,-75.52,7.29
1.912,-7.5,-75.66,8.61
1.961,-8.19,-75.77,9.58
2.011,-8.44,-75.84,9.92
2.061,-8.48,-75.79,9.94
2.111,-8.58,-75.8,10.03
2.161,-8.35,-75.87,9.77
2.211,-8.27,-75.89,9.61
2.261,-7.97,-75.87,9.19
2.311,-7.74,-75.94,8.92
2.361,-7.39,-75.98,8.52
2.411,-6.82,-76.22,8.01
2.462,-6.22,-76.48,7.5
2.513,-5.42,-76.67,6.84
2.561,-5.02,-76.81,6.55
2.611,-4.55,-76.97,6.23
2.661,-4.19,-77.17,5.95
2.710,-3.91,-77.33,5.74
2.761,-3.46,-77.44,5.33
2.811,-2.73,-77.88,4.87
2.861,-1.94,-78.33,4.19
2.911,-1.04,-78.66,3.21
2.961,-0.06,-78.8,2.22
3.011,0.57,-78.8,1.54
3.060,1.11,-78.79,0.96
3.110,1.5,-78.74,0.49
3.160,1.78,-78.67,0.17
3.210,1.58,-78.51,0.3
3.260,1.7,-78.5,0.12
3.310,1.93,-78.55,-0.16
3.360,2.12,-78.62,-0.42
3.410,2.39,-78.76,-0.74
3.460,2.84,-78.73,-1.3
3.510,3.32,-78.73,-1.92
3.560,3.65,-78.73,-2.35
3.610,3.89,-78.73,-2.61
3.660,4.12,-78.75,-2.75
3.710,4.19,-78.79,-2.8
3.759,4.21,-78.8,-2.79
3.809,3.8,-78.79,-2.38
3.859,3.45,-78.8,-1.98
3.909,2.85,-78.81,-1.31
3.959,2.41,-78.83,-0.85
4.009,1.99,-78.83,-0.4
4.059,1.68,-78.83,-0.1
4.109,1.45,-78.9,0.13
4.159,1.06,-78.91,0.5
4.208,0.9,-78.98,0.69
4.258,0.89,-79.03,0.69
4.308,1.03,-79.06,0.52
4.358,1.06,-79.1,0.49
4.409,0.74,-78.96,0.74
4.458,-0.08,-78.72,1.43
4.508,-0.63,-78.35,1.8
4.558,-1.34,-78.01,2.31
4.608,-2.43,-77.61,3.2
4.658,-3.76,-77.12,4.31
4.708,-5.48,-76.52,5.87
4.758,-7.63,-75.74,7.8
4.808,-10.0,-74.79,9.93
4.858,-12.48,-73.57,12.13
4.908,-14.82,-72.19,14.28
4.958,-16.77,-70.75,16.16
5.008,-18.08,-69.11,17.43
5.058,-18.99,-67.47,18.38
5.108,-19.49,-65.77,19.02
5.157,-19.83,-64.25,19.37
5.208,-20.1,-62.97,19.7
5.257,-20.14,-61.35,19.94
5.307,-20.18,-59.54,20.37
5.357,-20.23,-57.67,20.8
5.407,-20.22,-55.46,21.3
5.457,-20.13,-52.95,21.81
5.507,-20.04,-49.96,22.44
5.556,-19.69,-46.52,23.32
5.606,-19.34,-42.46,24.41
5.656,-19.11,-39.35,26.27
5.707,-19.44,-36.44,27.08
5.756,-19.17,-33.08,27.52
5.806,-18.66,-29.65,28.19
5.856,-17.7,-26.26,28.79
5.905,-17.48,-23.31,29.15
