Time(s),Roll(deg),Pitch(deg),Yaw(deg)
0.042,-28.32,-19.85,-71.46
0.092,-28.09,-19.91,-71.42
0.142,-28.05,-19.86,-71.54
0.192,-28.21,-19.91,-71.62
0.241,-28.14,-20.08,-70.64
0.291,-28.14,-20.48,-69.19
0.343,-28.2,-21.03,-68.74
0.392,-28.76,-21.59,-70.96
0.442,-28.81,-21.95,-72.53
0.492,-28.06,-22.01,-72.46
0.541,-27.44,-21.88,-71.98
0.591,-27,-21.83,-71.2
0.641,-26.66,-21.91,-70.35
0.691,-26.45,-22.04,-69.34
0.741,-26.14,-22.33,-68.42
0.791,-25.74,-22.6,-66.98
0.841,-25.63,-22.71,-65.89
0.89,-25.66,-23.14,-64.9
0.941,-25.4,-23.86,-64.01
0.99,-24.74,-24.77,-62.78
1.04,-24.14,-26.02,-60.69
1.09,-24.34,-27.29,-58.91
1.14,-24.36,-28.63,-57.02
1.19,-23.97,-30.26,-54.43
1.24,-24,-31.57,-52.71
1.29,-24.62,-32.87,-49.15
1.34,-25.06,-33.76,-46.17
1.39,-24.63,-34.47,-43.87
1.44,-24.42,-34.97,-42.91
1.49,-24.37,-35.55,-41.19
1.54,-24.31,-35.85,-40.17
1.589,-24.34,-36.01,-39.94
1.639,-24.36,-36.44,-38.96
1.69,-24.61,-36.72,-38.35
1.74,-23.75,-37,-38.42
1.789,-23.59,-37.12,-38.57
1.839,-23.24,-37.4,-38.97
1.889,-22.74,-37.81,-39.35
1.939,-22.4,-38.26,-39.41
1.989,-22.56,-38.67,-38.87
2.039,-22.88,-38.99,-38.46
2.089,-23.17,-39.02,-38.98
2.139,-23.38,-38.93,-39.78
2.189,-23.78,-38.61,-40.51
2.24,-23.59,-38.52,-40.6
2.289,-22.99,-38.79,-39.76
2.338,-22.72,-39.21,-38.55
2.389,-22.4,-39.43,-38.25
2.439,-21.65,-39.32,-37.61
2.489,-21.91,-38.96,-37.21
2.538,-21.88,-38.89,-37.06
2.588,-21.86,-38.76,-36.93
2.639,-21.82,-38.66,-36.66
2.689,-22.15,-38.35,-36.36
2.739,-22.64,-38.04,-35.85
2.788,-23,-37.87,-35.67
2.838,-23.14,-37.74,-35.34
2.887,-23.48,-37.51,-35.21
2.938,-24.03,-37.12,-34.82
2.988,-24.6,-36.7,-33.95
3.037,-25.29,-36.18,-32.83
3.087,-26.26,-35.45,-31.48
3.137,-27.72,-34.54,-29.75
3.187,-29.65,-33.39,-27.79
3.237,-32.01,-31.9,-25.82
3.287,-34.27,-30.22,-24.27
3.337,-36.35,-28.19,-22.78
3.386,-38.42,-25.95,-21.82
3.436,-39.77,-23.9,-21.88
3.486,-41.27,-22.04,-21.87
3.536,-42.44,-20.58,-20.95
3.586,-42.55,-19.38,-18.97
3.636,-42.61,-18.14,-16.92
3.686,-42.52,-17.02,-15.05
3.736,-42.19,-16.06,-12.91
3.786,-41.74,-15.28,-10.51
3.836,-40.67,-14.3,-7.63
3.885,-40.12,-13.33,-5.2
3.935,-39.08,-11.84,-1.43
3.985,-38.94,-10.55,0.05
4.035,-39.37,-9.57,0.53
4.085,-39.75,-8.55,0.92
4.135,-40.19,-7.69,0.98
4.185,-40.76,-6.67,1.08
4.235,-40.77,-5.76,1.55
4.285,-40.5,-4.86,2.14
4.335,-40.39,-3.97,2.62
4.385,-39.71,-3.29,3.41
4.435,-39.16,-2.71,3.86
4.485,-39.51,-2.45,3.48
4.535,-39.57,-2.41,3.5
4.585,-39.5,-2.17,3.85
4.635,-39.61,-2.12,3.9
4.685,-39.64,-2.04,3.99
4.735,-39.31,-1.86,4.51
4.785,-39.04,-1.88,4.8
4.835,-39.11,-1.98,4.69
4.885,-39.17,-2.11,4.46
4.935,-39.01,-2.17,4.34
4.984,-38.84,-2.18,4.3
5.034,-38.72,-2.43,4.24
5.084,-38.94,-2.86,4.04
5.134,-39.16,-3.35,3.95
5.184,-39.02,-3.71,4.23
5.234,-39.03,-4.24,4.26
5.283,-39.05,-4.84,4.23
5.333,-38.99,-5.61,4.23
5.383,-39.05,-6.92,3.96
5.433,-38.84,-8.55,3.53
5.483,-39.16,-10.55,2.34
5.533,-38.72,-12.84,1.34
5.583,-38.41,-15.06,-0.37
5.633,-38.15,-17.6,-2.9
5.682,-38.07,-19.97,-6.03
5.733,-37.77,-21.98,-8.99
5.783,-37.34,-23.78,-13.31
5.833,-37.16,-25.05,-18.62
5.882,-36.45,-25.95,-22.62
5.933,-36.42,-26.24,-26.59
5.982,-35.86,-26.44,-30.37
6.032,-35.14,-26.39,-34
6.082,-34.67,-25.97,-38.56
6.132,-34.3,-25.69,-41.81
6.182,-33.55,-25.82,-42.76
6.232,-32.42,-26.55,-43.73
6.282,-30.72,-27.91,-43.15
6.332,-29.74,-28.83,-42.9
6.382,-28.19,-29.79,-43.13
6.432,-26.68,-30.45,-43.38
6.483,-25.46,-30.94,-43.54
6.532,-24.41,-31.17,-44.22
6.582,-23.74,-31.52,-44.71
6.632,-23.24,-31.68,-45.32
6.681,-23.17,-31.95,-45.43
6.731,-22.1,-32.35,-45.3
6.782,-20.92,-32.61,-45.13
6.831,-20.26,-32.55,-45.28
6.882,-19.2,-32.5,-45.63
6.931,-18.26,-32.47,-45.98
6.981,-17.69,-32.38,-46.23
7.031,-16.88,-32.36,-46.27
7.081,-15.95,-32.42,-46.47
7.131,-15.26,-32.44,-46.86
7.181,-14.88,-32.46,-47.08
7.231,-14.97,-32.22,-47.38
7.28,-15.37,-31.93,-47.61
7.33,-15.45,-31.74,-47.73
7.381,-15.5,-31.53,-47.88
7.431,-15.5,-31.44,-47.89
7.481,-15.71,-31.24,-47.99
7.531,-15.91,-31.12,-47.92
7.581,-16.36,-30.95,-47.82
7.631,-16.75,-30.92,-47.56
7.681,-17.01,-30.94,-47.2
7.731,-17.02,-30.9,-47.08
7.781,-17.14,-30.88,-46.99
7.831,-17.36,-30.83,-47.07
7.88,-17.36,-30.83,-47.19
7.93,-17.31,-30.85,-47.27
7.98,-17.13,-30.87,-47.27
8.03,-17.02,-30.79,-47.47
8.08,-17.05,-30.71,-47.75
8.13,-17.15,-30.61,-48.02
8.179,-17.34,-30.55,-48.21
8.23,-17.44,-30.46,-48.33
8.279,-17.49,-30.39,-48.36
8.329,-17.63,-30.31,-48.35
8.379,-17.85,-30.26,-48.22
8.429,-18.16,-30.21,-47.98
8.479,-18.71,-30.08,-47.73
8.528,-19.4,-29.75,-47.78
8.578,-20.21,-29.39,-47.72
8.628,-20.92,-29.25,-47.34
8.679,-21.69,-29.35,-46.55
8.729,-22.75,-29.44,-45.53
8.779,-23.96,-29.52,-44.18
