Time(s),Raw_Roll,Raw_Pitch,Raw_Yaw,Filtered_Roll,Filtered_Pitch,Filtered_Yaw,Delta_Roll,Delta_Pitch,Delta_Yaw
0.010,11.4,-28.9,2.3,11.4,-28.9,2.3,0.0,0.0,0.0
0.060,11.5,-29.1,1.9,11.4404,-28.9808,2.1384,0.0404,-0.0808,-0.1616
0.110,11.7,-29.3,1.4,11.5164,-29.0742,1.9222,0.076,-0.0935,-0.2162
0.160,11.8,-29.4,0.7,11.5823,-29.15,1.6382,0.0659,-0.0757,-0.2841
0.210,11.9,-29.7,-0.0,11.6443,-29.2573,1.3185,0.062,-0.1073,-0.3196
0.260,11.9,-30.2,-0.8,11.6878,-29.4177,0.958,0.0435,-0.1605,-0.3606
0.310,12.2,-30.8,-1.4,11.766,-29.6288,0.5979,0.0782,-0.2111,-0.36
0.360,12.7,-31.6,-1.8,11.8967,-29.9046,0.2624,0.1307,-0.2758,-0.3355
0.410,13.3,-32.9,-2.0,12.0797,-30.2951,-0.0326,0.183,-0.3905,-0.295
0.460,14.0,-34.5,-2.1,12.316,-30.8127,-0.287,0.2364,-0.5176,-0.2545
0.510,14.6,-36.5,-2.1,12.5843,-30.8203,-0.5,0.2683,-0.0076,-0.213
0.559,15.2,-38.7,-1.9,12.88,-30.8315,-0.6583,0.2957,-0.0112,-0.1583
0.608,15.8,-40.9,-1.6,13.2,-30.8469,-0.7615,0.3199,-0.0154,-0.1032
0.659,16.6,-43.2,-1.5,13.5631,-30.8669,-0.8403,0.3631,-0.02,-0.0789
0.709,17.2,-45.2,-1.3,13.9435,-30.8916,-0.8884,0.3804,-0.0246,-0.0481
0.759,17.8,-47.1,-1.1,14.3399,-30.921,-0.9102,0.3965,-0.0294,-0.0218
0.809,18.4,-49.0,-0.8,14.7515,-30.9556,-0.899,0.4116,-0.0346,0.0112
0.859,18.7,-50.7,-0.4,15.1472,-30.9952,-0.849,0.3957,-0.0397,0.05
0.909,19.0,-52.5,-0.0,15.5296,-31.0405,-0.7647,0.3825,-0.0452,0.0843
0.959,19.3,-54.2,0.2,15.901,-31.0914,-0.6697,0.3714,-0.0509,0.095
1.009,19.8,-55.9,0.4,16.2827,-31.1483,-0.565,0.3816,-0.0569,0.1047
1.058,20.2,-57.3,0.6,16.6642,-31.2107,-0.4515,0.3815,-0.0624,0.1134
1.109,20.7,-58.5,0.5,17.0555,-31.2785,-0.3593,0.3913,-0.0677,0.0923
1.158,21.3,-59.7,0.3,17.4656,-31.3517,-0.2956,0.4101,-0.0732,0.0637
1.208,21.8,-60.9,0.1,17.8833,-31.4305,-0.2574,0.4176,-0.0788,0.0381
1.258,22.3,-62.1,-0.1,18.3079,-31.5152,-0.2423,0.4246,-0.0847,0.0151
1.309,22.9,-63.2,-0.5,18.7485,-31.6055,-0.267,0.4406,-0.0904,-0.0247
1.358,23.6,-64.1,-0.9,19.2132,-31.7012,-0.3277,0.4648,-0.0956,-0.0606
1.408,24.3,-65.2,-1.3,19.2186,-31.8028,-0.4207,0.0054,-0.1016,-0.093
1.458,25.3,-66.3,-2.1,19.2257,-31.9106,-0.5812,0.007,-0.1078,-0.1605
