Time(s),Pitch_Normalized,Delta_Pitch_Smoothed,Label
0.037,0.49690014941343463,-0.15312991584781627,0
0.087,0.21665023064311129,-0.1305634280305578,0
0.136,-0.01978166557506711,-0.10648583086621143,0
0.186,-0.18360109369056943,-0.08061010110930944,0
0.236,-0.26874942982564676,-0.0497820586135731,0
0.286,-0.28648041876991215,-0.0104218217388933,0
0.336,-0.24850066665004533,0.04286462878834527,0
0.386,-0.1479806594610409,0.14367621142987871,0
0.436,0.04886162189127674,0.2551989757690876,0
0.486,0.39268193202450163,0.36595581662196397,0
0.536,0.9255464372968873,0.46521772652268395,0
0.585,1.6534123449418985,0.5456862469995208,0
0.636,2.532208092115809,0.6041155689838369,0
0.686,3.47595707252907,0.6399329490684572,0
0.736,4.383427835401193,0.6532312796666986,0
0.786,5.170382051225296,0.6437920641027837,0
0.836,5.792655023188324,0.6118747538302671,0
0.885,6.251348831223531,0.5601052953399488,0
0.935,6.581174418558263,0.49491859069282923,0
0.985,6.830602573052339,0.42620751289618897,0
1.036,7.044293975599558,0.3649136328542312,0
1.085,7.254465298341387,0.3195578782041508,0
1.135,7.481393999044101,0.29339241718843423,0
1.185,7.7380322014909595,0.2835662138381473,0
1.235,8.032564163943505,0.28264781869173206,0
1.285,8.365960833266804,0.2816998561349031,0
1.335,8.726579195072667,0.2734740993586833,0
1.384,9.087010969605004,0.254422629285461,0
1.435,9.407652605475583,0.22493682864512152,0
1.484,9.64760113440137,0.18813779296825003,0
1.534,9.779034969186391,0.14817732179011073,0
1.584,9.798691591195997,0.10902290934251653,0
1.634,9.730762285495317,0.07411409301926639,0
1.684,9.61941013117346,0.04653472152797278,0
1.734,9.514337381844612,0.029009430590617315,0
1.784,9.45618992669197,0.02332701776294428,0
1.834,9.46772012526533,0.029434838593904545,0
1.884,9.552358184884731,0.044907718654798146,0
1.934,9.697746911381756,0.06540204128184399,0
1.984,9.880871312030813,0.08608859669791116,0
2.034,10.073383355125436,0.10333559215978597,0
2.084,10.247768777743978,0.11565123404917585,0
2.134,10.384782698313757,0.12337284812671853,0
2.183,10.480296098152571,0.12748088800560708,0
2.233,10.547693303442472,0.12849585725311313,0
2.283,10.612702267183728,0.1262070377589474,0
2.333,10.701448606532516,0.12020094713528096,0
2.383,10.827167064940802,0.11050213422426154,0
2.433,10.982705483912888,0.09765115621590681,0
2.483,11.142941689620287,0.08216060642480158,0
2.533,11.275392826478246,0.06394269616704093,0
2.583,11.352790119986594,0.04242256949110157,0
2.633,11.361294260472825,0.017526583369832593,0
2.683,11.301902162400587,-0.00902440058733589,0
2.732,11.187120265112881,-0.0330775486947104,0
2.782,11.036927962094744,-0.04871768540053552,0
2.832,10.876714440230842,-0.050077460486016176,0
2.882,10.736923059067443,-0.03338618996695146,0
2.932,10.651929996965784,0.0017615638399192334,0
2.982,10.655764835614931,0.05240433950147079,0
3.032,10.774618221618084,0.11325170658548914,0
3.081,11.018928220317079,0.1781330634740847,0
3.132,11.378909898872017,0.24126576613487033,0
3.182,11.825945557415295,0.2980354285678949,0
3.232,12.319637330967772,0.3452725591673385,0
3.282,12.81825859683559,0.3811651449026314,0
3.331,13.289372101579545,0.4049470457714854,0
3.381,13.717277344746392,0.41645194691546905,0
3.431,14.104655588639169,0.41564946682465875,0
3.481,14.467416284641246,0.4023601053563077,0
3.531,14.824088679332938,0.3763234268119092,0
3.581,15.18344768947177,0.3376109942479381,1
3.631,15.535404567118604,0.28715480542468014,1
3.681,15.849546610978372,0.22704962178254534,1
3.731,16.082871599086864,0.16036548741142767,1
3.781,16.194368539314972,0.0905090852701143,1
3.831,16.160920155826346,0.0205541620117188,3
3.88,15.987773562571846,-0.04695954067926635,3
3.93,15.708310462753445,-0.1096875598406946,2
3.98,15.372507137342389,-0.16509015147287442,2
4.03,15.029630299450126,-0.21057336331031848,2
4.08,14.713852282679106,-0.24428485313180914,0
4.131,14.438528968711658,-0.2661360787660868,0
4.18,14.198645096249628,-0.2784127541973135,0
4.23,13.97713796598368,-0.2855284928484956,0
4.28,13.75152000799688,-0.2929156498844428,0
4.33,13.499559368165478,-0.30549325908913333,0
4.38,13.203646020598711,-0.3263018187291465,0
4.43,12.85302553426849,-0.3556353107807276,0
4.48,12.44335063849796,-0.3906551907379189,0
4.529,11.974697708558793,-0.42546395018536104,0
4.579,11.450834095387641,-0.45187765302911487,0
4.629,10.882175860904383,-0.4611460529373602,0
4.679,10.292093188870439,-0.4463510276724591,0
4.729,9.72249846413007,-0.4045612061359236,0
4.779,9.232743477705732,-0.33769602423874046,0
4.829,8.888098838791876,-0.2516877478641689,0
4.879,8.74013574387412,-0.1544934137618199,0
4.929,8.807413472909253,-0.054084323948351457,0
4.979,9.066390396110556,0.042699438183464625,0
5.03,9.457820229917104,0.13038210962280344,0
5.08,9.905899957769442,0.20482780444562465,0
5.13,10.341332621420868,0.26356328341206847,0
5.179,10.719087570705085,0.30638502424911496,0
5.228,11.026319560358104,0.33563826299731614,0
5.278,11.281021522161979,0.35565669043823506,0
5.328,11.523731672912561,0.3714266347789234,0
5.378,11.80398598636527,0.3870153441361559,0
5.428,12.163796102882415,0.40433550504390964,0
5.478,12.622957300492907,0.42253398574419876,0
5.528,13.172086577706338,0.4380416451476258,0
5.578,13.776053399131001,0.4452845012095551,0
5.628,14.384687671859965,0.4380770986834577,0
5.678,14.944427428147073,0.41152660277510905,0
5.728,15.406736011834361,0.3638858369375136,1
5.777,15.73386653425753,0.29757278277115873,1
5.827,15.904502659747138,0.21885296568442242,1
5.877,15.91925201411636,0.1363419236293609,1
5.927,15.80265447225755,0.059008479600096565,3
5.977,15.598685128204494,-0.005654138751972226,3
6.027,15.360616234550562,-0.053001426527593765,3
6.077,15.13947263542461,-0.08208625403992613,2
6.128,14.97477246786093,-0.09577829028180958,0
6.177,14.88788604062735,-0.09984038563461936,0
6.227,14.876721746558424,-0.10099428606680619,0
6.277,14.913003993858268,-0.10467939015073639,0
6.327,14.946719756929042,-0.1135857175857737,0
6.376,14.920848157770166,-0.12764430067364357,0
6.427,14.792711611589489,-0.1451593303862772,0
6.477,14.55189122669713,-0.16395555457200928,0
6.527,14.224759058692825,-0.18157080688265453,0
6.577,13.863029628688174,-0.1946128007125914,0
6.627,13.523179163998158,-0.19841810523290918,0
6.677,13.248330494907258,-0.1880511281541956,0
6.727,13.061013677731879,-0.16048469639869795,0
6.777,12.966875986732354,-0.1166127744329863,0
6.827,12.96253870459995,-0.061641840465217965,0
6.876,13.04033687622821,-0.00347085723377063,0
6.926,13.18786464760251,0.04998524901260879,0
6.976,13.385763482367267,0.09297414126169486,0
7.026,13.608340654040646,0.12255270773750908,0
7.076,13.828321056350468,0.13782825252175784,0
7.126,14.023031654124246,0.1388095773443098,0
7.176,14.178071907524206,0.1258772129111186,0
7.225,14.28654075510697,0.10011837299492328,0
7.275,14.345158511949933,0.06396804399770203,0
7.325,14.350634478043048,0.02139067906454457,0
