Time(s),Pitch_Normalized,Delta_Pitch_Smoothed,Label
0.032,-0.5590530757373529,0.10792345951743129,0
0.082,-0.3957971635945654,0.10451599980727148,0
0.132,-0.24684612325623334,0.10199468020525362,0
0.182,-0.1213935858667412,0.10156294011795453,0
0.232,-0.01943577815019637,0.10309886667334132,0
0.281,0.06804292310627602,0.10563390240077553,0
0.331,0.15490968569942254,0.11876952381729922,0
0.382,0.25345044520628335,0.11476000482315526,0
0.431,0.3688367243227191,0.11070318304333285,0
0.482,0.4972859482704024,0.10759859510401526,0
0.531,0.6286421624356393,0.10615249498160892,0
0.581,0.7518028846369873,0.1063387254489598,0
0.631,0.8601857071770951,0.10725282831909055,0
0.681,0.9545923651734114,0.10741795434572339,0
0.73,1.0420891716658929,0.10545571738070691,0
0.781,1.131430177595874,0.10081032605182116,0
0.83,1.227437968890328,0.09415032226906277,0
0.881,1.3276299886635172,0.08721283576073517,0
0.93,1.4233938981297882,0.08213493460579002,0
0.981,1.505389208788614,0.08058667288361362,0
1.031,1.570145385126267,0.08312021790493276,0
1.08,1.623931242244339,0.08901639091413785,0
1.13,1.6815350532349953,0.09663535649974478,0
1.18,1.7604590940095477,0.10403708718548614,0
1.23,1.8732913507152205,0.10955704731973696,0
1.28,2.0215940867372524,0.11211449306952233,0
1.33,2.193791533887776,0.11121272619274122,0
1.38,2.3680008605183787,0.10674678580180341,0
1.43,2.518964371327158,0.09878608272971548,0
1.48,2.6265341394838373,0.08745936674177698,0
1.529,2.6822726470536793,0.07300154802899783,0
1.579,2.691399100262373,0.05594851101076159,0
1.629,2.66939588053215,0.03736792100441875,0
1.679,2.6350527614273176,0.018929871849766754,0
1.729,2.6033068310051988,0.002656931673601548,0
1.779,2.5810791968448683,-0.009617370745399968,0
1.829,2.5674707439319633,-0.016834197947464703,0
1.879,2.557299579016046,-0.019019913081656625,0
1.929,2.5455336880631734,-0.017139274967523477,0
1.979,2.5303604320298376,-0.012569465940831036,0
2.029,2.5139306675790323,-0.006493495448816588,0
2.079,2.501199969445807,0.00045573778682950206,0
2.128,2.4980031308569153,0.008152600934053567,0
2.178,2.509358102019007,0.016651774621925595,0
2.228,2.538371876517033,0.025843978244323294,0
2.278,2.5856365747131633,0.0353232626544127,0
2.328,2.648996753272499,0.04452830666528769,0
2.378,2.723817325235302,0.053036799147554346,0
2.428,2.8039734705064063,0.06079049892998256,0
2.478,2.8835930585739646,0.06807392777161567,0
2.528,2.959213734231909,0.07524454614885485,0
2.578,3.0315679609213504,0.0823932194239319,0
2.628,3.105908120156741,0.08916124669319317,0
2.678,3.190097379735164,0.09482533617455431,0
2.728,3.2908173380055814,0.09858204158398962,0
2.777,3.4095687689524823,0.09984599365717628,0
2.828,3.5406092202044306,0.09839052058462557,0
2.877,3.6720706869808453,0.09429024116897011,0
2.927,3.7897938863463025,0.08778418706706503,0
2.977,3.8820529951457274,0.07923986005095429,0
3.027,3.9431189400781648,0.069293263233655,0
3.077,3.9744703726110515,0.059040269682563463,0
3.127,3.9837499908273912,0.05004072334262588,0
3.177,3.982495980244707,0.04399012550965011,0
3.227,3.9837499703421315,0.04215225942584624,0
3.277,3.999971465778117,0.04484056904731233,0
3.327,4.041016453630689,0.05123925163228762,0
3.376,4.111971942077346,0.0596669541294645,0
3.426,4.211316480604765,0.06813650703722232,0
3.477,4.330458685618851,0.0749212035542243,0
3.526,4.455511456401041,0.07889558813298407,0
3.576,4.5711399139056965,0.07961908682836594,0
3.626,4.665115061199614,0.07729784509760976,0
3.676,4.73170801578695,0.07275216593169773,0
3.726,4.772705851671972,0.06736699335472451,0
3.776,4.796162334061776,0.06288591581364926,0
3.826,4.813994904606787,0.06096623890478412,0
3.876,4.839493601394324,0.06261759115116661,0
3.926,4.88498641415201,0.0678269714594677,0
3.976,4.959317843755343,0.07565261270647312,0
4.026,5.065173845448882,0.08482050919619155,0
4.076,5.197315825417363,0.09454198384994897,0
4.125,5.343384775794291,0.10511477466466061,0
4.175,5.488234142851681,0.11798640304210437,0
4.225,5.620910943633888,0.13526147626969162,0
4.275,5.741582172561266,0.15891502045483463,0
4.325,5.865142651253393,0.19007004579183615,0
4.375,6.019357631815367,0.22860185650927461,0
4.425,6.237601176848926,0.2731386882897155,0
4.475,6.54846804830369,0.32133831673791774,0
4.525,6.965874303367244,0.3702282306807,0
4.575,7.483334390510109,0.41647059371631345,0
4.624,8.074771658691446,0.4565946290389178,0
4.674,8.701617310230858,0.4873516298247381,0
4.724,9.323193250440887,0.506275774196763,0
4.774,9.9062881097244,0.5123358357128431,0
4.824,10.431088941642571,0.5063868911107697,0
4.874,10.892873930062748,0.4911028908865518,0
4.924,11.300358918816556,0.47026271619960625,0
4.974,11.671826405432121,0.44762777751192717,0
5.024,12.02974321447494,0.42594671567226283,0
5.074,12.394363299375627,0.4065680748007843,0
5.124,12.777398820687509,0.3897306463692466,0
5.174,13.17789508535013,0.37516852077862595,0
5.224,13.582660407163516,0.36256227023527643,0
5.274,13.971968857732243,0.35163708886111067,0
5.323,14.328395405335037,0.34209466720904447,0
5.374,14.644559137849008,0.3337201607938461,0
5.423,14.92598162116932,0.32677621740829466,0
5.473,15.188197294043228,0.32240157793364543,1
5.523,15.450689886565385,0.32258133121852167,1
5.573,15.731564907314088,0.32951353411852224,1
5.623,16.045160994770455,0.34461499097792014,1
5.673,16.401910864686585,0.36762692459949375,1
5.723,16.808473719348733,0.39618363647995236,1
5.773,17.267104198917465,0.42596090396110287,1
5.823,17.77454531511424,0.4513514986086612,1
5.872,18.320828383843946,0.4665888315937273,1
5.923,18.887817985968844,0.4672149552311232,1
5.973,19.447806333654256,0.45158504721852993,1
6.022,19.964204872651997,0.42178837070014125,1
6.072,20.39745322325136,0.38333875047306376,1
6.122,20.717310547081688,0.34354104921094475,1
6.172,20.917761336871884,0.30928019862072065,1
6.222,21.026357426350145,0.2853860802017415,1
6.272,21.100491703648103,0.27428927607150155,1
6.322,21.209955807223686,0.2767365688577833,1
6.372,21.413630370051152,0.2926449328901953,1
6.422,21.74167878798626,0.3212577777418254,1
6.472,22.190699094369272,0.36051686860212867,1
6.521,22.73157056122983,0.40636035173818,1
6.572,23.323902552153314,0.45284570044541894,1
6.622,23.92988832449994,0.49340288956423495,1
6.672,24.52293002289317,0.5226442679764759,1
6.721,25.089960943731946,0.5377388595246181,1
6.771,25.628948708102293,0.5387007178805276,1
6.821,26.143984702866035,0.5276722612175767,1
6.871,26.64007304981591,0.5077999257046436,1
6.921,27.11906738323244,0.4823092933015502,1
6.971,27.57770627317455,0.45404062311139837,1
7.021,28.008293173405598,0.4253473677423642,1
7.071,28.40190180919975,0.39812768576318047,1
7.121,28.752981257515444,0.37385020604635455,1
7.171,29.063336254007154,0.35357914598060064,1
7.22,29.343434621155588,0.3380479903263698,1
7.27,29.610225565734098,0.3277681068237378,1
7.32,29.88248676332958,0.3230878622992286,1
7.37,30.175864509621917,0.3241255584432771,1
7.42,30.49954728649614,0.3305893167332741,1
7.47,30.855387341411927,0.3415953850124275,1
7.52,31.239171796397883,0.35561063684405314,1
7.57,31.64315739363252,0.37055307236788193,1
7.62,32.058874424848185,0.3839855214865551,1
7.67,32.47929010413143,0.3933591677638006,1
7.719,32.89954098959612,0.39638146276488867,1
7.769,33.31575628941292,0.39161575430716977,1
7.819,33.72234197819513,0.3792461149725185,1
7.869,34.10945618725992,0.3616702285815322,1
7.919,34.463361914145025,0.3434636080079393,1
7.969,34.771544884483625,0.3304447970051612,1
8.019,35.03163294612307,0.3280098052308425,1
8.069,35.25985967944784,0.3393718292893347,1
8.119,35.49351050492758,0.3645345037335431,1
8.169,35.78373807418304,0.400520686250902,1
8.219,36.179639041904544,0.4426801635680981,1
8.269,36.709474582306264,0.4862819387478261,1
8.318,37.367687015530564,0.5275265090334038,1
8.368,38.11466304976894,0.5636157686146916,1
8.418,38.890163549826006,0.592182728635624,1
8.468,39.634364271961886,0.6107607658621206,1
8.519,40.306898036457106,0.6168765886524504,1
8.568,40.89601736559476,0.608874102327708,1
8.618,41.41533779128382,0.5870096298545022,1
8.668,41.89134573280425,0.5540798177514994,1
8.718,42.34840492842905,0.5150643722507219,1
8.768,42.798215605583344,0.47583201517080764,1
8.818,43.237783314075585,0.44147645868549007,1
8.868,43.655461227283936,0.4150211117656809,1
8.918,44.040807272333225,0.3970210130839277,1
8.967,44.39268442366996,0.3861424541009221,1
9.017,44.72166262331201,0.380325145136721,1
9.068,45.04622848325157,0.3778637397274828,1
9.117,45.385547922123095,0.3778536628555031,1
9.167,45.75277027381347,0.37987942450801954,1
9.217,46.15165637979626,0.3832996818329974,1
9.267,46.57685300285817,0.38669556739754113,1
9.317,47.016319942630616,0.38789072690090975,1
9.367,47.45425547236413,0.38456017210356636,1
9.417,47.8738040906632,0.37508047766394126,1
9.466,48.259640097645374,0.35915457579042853,1
9.516,48.600569892321104,0.3379188935761512,1
9.566,48.89183020428723,0.3135595137484003,1
9.616,49.13635269876251,0.2886987787477565,1
9.666,49.34431603171775,0.26583718870023176,1
9.716,49.53084531555777,0.24699628764091983,1
9.766,49.712448140342175,0.2335486968947073,1
9.816,49.90330773010818,0.22614870719808805,1
9.866,50.11262735936645,0.2247025612987983,1
9.916,50.3437669670724,0.22838172379225483,1
9.966,50.59512706659245,0.2357165270149629,1
10.016,50.862056964301985,0.24479031666662224,1
10.065,51.138855817275214,0.2535174556117255,1
10.115,51.420169936685056,0.259964944986644,1
10.165,51.70148130186738,0.2626596489961763,1
10.215,51.97874848222399,0.26079553512698084,1
10.265,52.24762269645943,0.25424299193301253,1
10.315,52.50295717997462,0.24331430692064374,1
10.365,52.73922384932821,0.22836547848330468,1
10.415,52.951722318342206,0.20944952375636347,1
10.465,53.13755698592257,0.18626986480516833,1
10.515,53.29520003350842,0.1585426374202413,1
10.565,53.42251060210826,0.1266160563181174,1
10.614,53.51466517424869,0.09198469610258471,1
10.665,53.564179949919065,0.0573452536603483,3
10.714,53.564174856426405,0.026094416147884658,3
10.764,53.513783259640604,0.0015137963665154074,3
10.814,53.42280414100047,-0.013925323608455642,3
10.865,53.312676385931695,-0.018832478527784247,3
10.914,53.21266647982105,-0.012793609005870366,3
10.964,53.152694949587726,0.003781386926022634,3
11.014,53.155946797423866,0.02958465506021213,3
11.064,53.23418581683042,0.062153635950544836,3
11.114,53.38672908418999,0.09774567163527052,1
11.164,53.60199381917929,0.1316454393163923,1
11.214,53.860021407028526,0.15894836122058464,1
11.264,54.13531961914605,0.17556510288192442,1
11.314,54.400260857353175,0.1790475631682682,1
11.363,54.62913077909562,0.1689339100837195,1
11.413,54.8021500920269,0.14658410034462221,1
