Time(s),Roll_Filtered,Pitch_Filtered,Yaw_Filtered,Label
1.84,4.14912987321332,-76.12129104608819,-4.787372131689121,0
1.89,3.8538106349260044,-76.06499768881068,-4.430988937279052,0
1.94,3.5514803305773497,-76.0047500051157,-4.064595858905626,0
1.99,3.302278364561134,-75.9543791690348,-3.7493885123583888,0
2.04,3.1503678066095193,-75.92385771792007,-3.5314687518758006,0
2.089,3.1171588827753225,-75.91869070305654,-3.435426775078356,0
2.139,3.200182998025196,-75.9407261145678,-3.4625841567775475,0
2.189,3.3747685053156657,-75.98898503732889,-3.591743899637826,0
2.239,3.5955521528229357,-76.05912471993861,-3.7801727292827567,0
2.289,3.797153765171342,-76.14122148101258,-3.9643704377462243,0
2.339,3.896201413981999,-76.2170298616899,-4.0624922107889265,0
2.388,3.7980125348260896,-76.25873178908091,-3.9811652840309777,0
2.439,3.4096070645493644,-76.2307756634326,-3.6280327039662685,0
2.489,2.6573125375830364,-76.0948572179716,-2.9284481922693812,0
2.539,1.5040882807607272,-75.81626362099826,-1.8420305131038746,0
2.588,-0.03937667648253227,-75.3687203724937,-0.373751819080964,0
2.638,-1.9140680902365177,-74.73524559406722,1.424469630563992,0
2.688,-4.022987459491825,-73.90445959063038,3.4624769445493073,0
2.738,-6.248626644879576,-72.86463552866462,5.6280171175032185,0
2.788,-8.471497570346115,-71.59989414876087,7.805327855436085,0
2.839,-10.58464306655259,-70.09256880522119,9.891655273623083,0
2.889,-12.50234016732483,-68.33243607804165,11.80934251027229,0
2.939,-14.164250325792398,-66.32882250681267,13.512918710640228,0
2.989,-15.537252357540785,-64.11845276949244,14.991017601475326,0
3.039,-16.616189851320346,-61.762704837549876,16.26279352848012,0
3.089,-17.42303416330612,-59.33284474469752,17.36908347642249,0
3.139,-18.00279196315332,-56.88821369632247,18.360027906501184,0
3.189,-18.4146964300154,-54.45635673278117,19.28219145342834,0
3.239,-18.718957062904607,-52.02334485208377,20.168412594553484,0
3.288,-18.96186858395236,-49.537881223684735,21.032538569557,0
3.338,-19.164055365418143,-46.927259539312416,21.86956354603681,0
3.388,-19.316826569343675,-44.119641221834236,22.66031761819997,1
3.438,-19.38948165041969,-41.066316512889394,23.379071684466815,1
3.488,-19.346294074218545,-37.75879194309575,24.00199486146311,1
3.538,-19.167271856311423,-34.23734960097985,24.514151819310566,1
3.588,-18.864042810853366,-30.589283484126312,24.91302699421314,1
3.638,-18.483437835146034,-26.936348604006497,25.207909306527924,1
3.688,-18.0965255490138,-23.41272622209429,25.416500519341888,1
3.738,-17.777361251399785,-20.13748004941219,25.561346064775883,1
3.788,-17.580009686424773,-17.188237559782497,25.667870174364893,1
3.837,-17.522370739914464,-14.583702820018244,25.763573190757747,1
3.887,-17.58155826892694,-12.280373254278576,25.876527957719645,1
3.936,-17.700812432757207,-10.184550958319491,26.03204223879993,1
3.987,-17.804843267308765,-8.176720152366453,26.24823213818808,1
4.037,-17.81951112087556,-6.142889905102714,26.532290097122356,1
4.087,-17.691415884220152,-4.006172178465476,26.878740771576158,1
4.137,-17.402431632624456,-1.751012543456238,27.269934874133224,1
4.187,-16.974399292831965,0.5673946639531153,27.678558899589472,1
4.237,-16.461618694863972,2.8334090106862964,28.072071265256852,1
4.286,-15.933545234477334,4.900004703719266,28.418906459148406,1
4.336,-15.454737391093829,6.628178387578985,28.6954563652568,1
4.386,-15.070134567662029,7.923422368691263,28.89168544221964,1
4.436,-14.800067550885515,8.757137434539704,29.012973984766973,1
4.485,-14.643791878788956,9.167557328178116,29.07718979259034,1
4.535,-14.58679528057584,9.243068649151896,29.108350006040503,1
4.585,-14.607305144001483,9.096476505767795,29.129802273619443,1
4.635,-14.68003118601941,8.83964522052933,29.15950993818357,1
4.685,-14.777916706190068,8.56483588833524,29.20829224570113,1
4.735,-14.873878907891335,8.33483152878287,29.280248063900004,1
4.785,-14.943871926286441,8.181037123136706,29.37411812859899,1
4.835,-14.971015394451321,8.107548857700639,29.48487524473055,1
4.884,-14.949247935893034,8.098887392253824,29.60552812465997,1
4.934,-14.884687341871958,8.129115609067288,29.729302756012434,1
4.984,-14.793626477956122,8.170331232734336,29.851953460299033,1
5.034,-14.697449819379258,8.199096792125395,29.9734149573215,1
5.084,-14.616052264814694,8.200175604842942,30.09793638020908,1
5.135,-14.561959109143896,8.167694938626898,30.232460374321416,1
5.184,-14.537045847448509,8.104283084010317,30.383920650100595,1
5.235,-14.532756010786512,8.01885283532918,30.55665069889314,1
5.284,-14.533512528187613,7.9237152834664935,30.750910899850936,1
5.334,-14.522096325147082,7.831625334105236,30.96288618850949,1
5.384,-14.48532854860184,7.75311009521948,31.185799550000866,1
5.434,-14.418390991054638,7.694176848504017,31.41136665934427,1
5.484,-14.326500725636096,7.6545813466385875,31.63094127963396,1
5.534,-14.223420472982129,7.627273616064742,31.836319670947965,1
5.583,-14.127303072846706,7.599905759955184,32.02070712761928,1
5.633,-14.055289082127643,7.558823032338143,32.18019066652768,1
5.683,-14.018691249800776,7.494742248973704,32.3153315257144,1
5.733,-14.020286569138683,7.407928195830461,32.43193433693767,1
5.783,-14.05435915394943,7.310045662290892,32.540189947219275,1
5.833,-14.109170200440053,7.220866523336827,32.652123633808074,1
5.883,-14.170866040395092,7.160633804446914,32.778178106524535,1
5.933,-14.22752199172605,7.1416365365642145,32.92434316275906,1
5.983,-14.272005535764617,7.1633202553452815,33.09109020918332,1
6.033,-14.30274399777827,7.213235236836235,33.274423392582705,1
6.083,-14.32234416682576,7.272710175592139,33.46818952617619,1
6.133,-14.334954180592293,7.323776928099117,33.666229791933546,1
6.184,-14.343700710253158,7.35399616194656,33.86338031117682,1
6.234,-14.349246285522447,7.357878301067914,34.05534293655355,1
6.283,-14.349774977809686,7.335739551318966,34.23823906390367,1
6.333,-14.34202709664061,7.2916282191864505,34.408654904016245,1
6.383,-14.32271081913092,7.231376081068981,34.564309042677834,1
6.433,-14.289736651723175,7.16093205098645,34.70477986180182,1
6.483,-14.243015288750277,7.084859640587817,34.83160073070052,1
6.533,-14.18478600701941,7.0052450493462,34.947512177364416,1
6.583,-14.119517005796462,6.921594768776582,35.05530733378189,1
6.632,-14.05340047068455,6.832044999010449,35.15699155809166,1
6.682,-13.993446088798972,6.735480960069039,35.25372163125273,1
6.733,-13.94622367794442,6.633590009131507,35.34644685845083,1
6.782,-13.916445669521512,6.531914850564751,35.436737928030915,1
6.833,-13.905756159518354,6.439528232873213,35.527213033887584,1
6.883,-13.912155771509894,6.367511022328731,35.62127375041402,1
6.931,-13.930328284810649,6.326577757566109,35.722335546165034,1
6.981,-13.952813104529135,6.3240239694829565,35.83305342081153,1
7.032,-13.971693953869547,6.360094059228679,35.954977852002145,1
7.082,-13.980397390261468,6.424191121654978,36.08867476470686,1
7.132,-13.975266042695548,6.4919289651332805,36.233914558491094,1
7.182,-13.956618313708057,6.524440126459561,36.3894473944968,1
7.232,-13.928950400111928,6.471238002313357,36.552246486598364,1
7.282,-13.899920590433682,6.277091360820297,36.71663657519339,1
7.331,-13.878009246489563,5.891831220217189,36.87400737296603,1
7.381,-13.86930961430755,5.280239414335077,37.01366473282662,1
7.431,-13.874528430133036,4.4280847589185415,37.12492900528757,1
7.481,-13.88760118879859,3.340897645014957,37.20004701794911,1
7.531,-13.897067183305742,2.0346081976291805,37.23700768521419,1
7.58,-13.890409097287073,0.5211324197343536,37.241183705225,1
7.631,-13.860206896598037,-1.2045474103455824,37.225054577719995,1
7.681,-13.809830408646889,-3.1687734478115375,37.20593915523382,1
7.731,-13.756147380054454,-5.411475189536201,37.202265684611056,1
7.781,-13.727556563730236,-7.9683351613121625,37.229236936483694,1
7.831,-13.75726770498027,-10.849561367017081,37.294954667039825,1
7.881,-13.873578529369436,-14.023414567746238,37.39821903446801,1
7.93,-14.09029729061238,-17.410797343382686,37.528999963337206,1
7.98,-14.40081584853624,-20.893645638015837,37.67167649103731,1
8.031,-14.778318802407101,-24.335807473983074,37.80988103006496,1
8.081,-15.18245063437344,-27.610873295008606,37.93101696351776,1
8.131,-15.570274620204428,-30.628163383713492,38.028747485206225,1
8.181,-15.907622596223488,-33.348168057304036,38.102714491197474,1
8.23,-16.176807348771305,-35.78315553548393,38.15586836212222,1
8.28,-16.37830322550836,-37.98499233480668,38.190679524288875,1
8.33,-16.526582370555012,-40.02652230997836,38.205905660149625,1
8.379,-16.642428945902722,-41.983157881372826,38.19531771664585,1
8.429,-16.744777622892286,-43.91886417039282,38.14890827321211,1
8.48,-16.844552446369523,-45.87798709451917,38.05600767348703,0
8.53,-16.94189698121695,-47.882793884209924,37.908904693559414,0
8.58,-17.027162968432837,-49.93591524778459,37.70534549799717,0
8.63,-17.08509570946232,-52.02634645167501,37.448764723495074,0
8.68,-17.10065272282235,-54.13703464289429,37.14607884315381,0
8.729,-17.063989036925445,-56.251698400078865,36.80380677652748,0
8.779,-16.971975614187382,-58.358829474723294,36.42361901794303,0
8.83,-16.82476387804395,-60.45184775321427,35.998119253849296,0
8.88,-16.6181967461568,-62.52568898002036,35.50732329978547,0
8.929,-16.335258829523337,-64.5712124258145,34.916522663780974,0
8.979,-15.940932732708083,-66.56952515441884,34.17688949255515,0
9.028,-15.383980702242459,-68.48859516011304,33.230415277967786,0
9.078,-14.606542592617647,-70.2841756947679,32.01971154389076,0
9.129,-13.559213067678268,-71.90580460675379,30.500951907893757,0
9.179,-12.216834095565924,-73.30658798035941,28.656108175932484,0
9.229,-10.589537294384172,-74.45353585691576,26.50018793455494,0
9.279,-8.724911595444258,-75.33474846310598,24.080905069799307,0
9.328,-6.700266777521091,-75.96131716651044,21.47113647840378,0
9.377,-4.607657660624799,-76.36428922053928,18.757056767148317,0
9.429,-2.536898333269555,-76.58862839439033,16.025899288816714,0
9.478,-0.5621105538305339,-76.68610427096496,13.356729449024867,0
