Pitch_Normalized,Delta_Pitch_Smoothed,Roll_Normalized,Delta_Roll_Smoothed,Yaw_Normalized,Delta_Yaw_Smoothed,Label1_Move,Label2_Bend,Label4_Speed
0.5629389167986147,-0.11262900995425582,-4.641955791353425,0.9593824672366082,5.599362666037166,-1.1258890968620847,0,0,0
0.40784739335603604,-0.11185683953147436,-3.300398045279735,0.9375307653407603,4.073860289616675,-1.1171346099682562,0,0,0
0.25935478187071226,-0.10937094829894534,-2.018776328963284,0.8978293757061115,2.5955601288269747,-1.0861713005910028,0,0,0
0.12242939669093289,-0.10592403955199892,-0.8526418457251026,0.8526739990362682,1.2128883667108141,-1.0452984777217225,0,0,0
-0.00020613297266436348,-0.10173936860991262,0.1549565448296164,0.8120488762500931,-0.030082818273257317,-1.0050354779522794,0,0,0
-0.10820212039023147,-0.09672746305500794,0.9832288006911369,0.7828772322730799,-1.1034449937723707,-0.9734688075813466,0,0,0
-0.2026577212940026,-0.09978526409216926,1.6428498385893562,0.8449033611413028,-2.003836438099853,-1.050534605537854,0,0,0
-0.2844533996173766,-0.08485925605537262,2.1794362009367205,0.7854252394572072,-2.7630251557366137,-0.9871711609818334,0,0,0
-0.3527154006905988,-0.06803883642385103,2.666484094897413,0.7419355159864395,-3.4459566355333493,-0.9393387880058952,0,0,0
-0.4043357137514647,-0.05018801426402888,3.1868165313773744,0.7124003132510837,-4.1353254097763,-0.9051707055981609,0,0,0
-0.4349137241230778,-0.032416886115186117,3.807077820059604,0.6907244868460964,-4.9059833893413725,-0.8788029366925827,0,0,0
-0.4407451671976901,-0.01593070713406064,4.553854349292337,0.668999559504789,-5.797851320201659,-0.8526139043698663,0,0,0
-0.421033582367798,-0.0018467639254140522,5.400578830901111,0.6397513661583545,-6.797827751231978,-0.8194000975803306,0,0,0
-0.3794507459493559,0.008969670781631578,6.271361286785734,0.5975039182983665,-7.838818689270795,-0.7738038292442895,0,0,0
-0.32437499412452553,0.016023804967404943,7.06220141329058,0.5394736218812909,-8.818112185199084,-0.7128509759265313,0,0,0
-0.26750919173083787,0.019255079679355448,7.673224395739027,0.4656631058055737,-9.629584037471034,-0.6359504725547367,0,0,0
-0.22112536054814314,0.019037637697732635,8.040363500172901,0.378765839094693,-10.197837413903159,-0.5448443727431964,0,0,0
-0.1947566918010608,0.01611468265745657,8.154475383920385,0.28410329017954866,-10.501063448179508,-0.44375004936480594,0,0,0
-0.1924773510165494,0.011485749257549572,8.061220313710322,0.18945687599637323,-10.574466394798662,-0.339498358300412,0,0,0
-0.21178491695791024,0.006280673019932692,7.8434475894331115,0.10437621662033365,-10.494830135323667,-0.24113817875154098,0,0,0
-0.24453734714575148,0.0016384698589234858,7.594736211006534,0.038615523780757145,-10.354427116773337,-0.1585503400810296,0,0,0
-0.2795983406231244,-0.001420625532053066,7.394887251087823,-0.00014704645436154352,-10.235351813849718,-0.10017055131705206,0,0,0
-0.30617608979230226,-0.0021458907680553807,7.295147590864843,-0.008529704415121842,-10.192811334236097,-0.07061460688046281,0,0,0
-0.316644015750029,-0.00021327260844827833,7.31512345298907,0.011392968658492464,-10.250200476786205,-0.06927130993036883,0,0,0
-0.30799029553529067,0.004162308334049669,7.448356651098152,0.05257771723591986,-10.40361558600938,-0.09052550531161216,0,0,0
-0.28171544705136853,0.010216553929235771,7.671753931195411,0.10496627920208254,-10.631289550641554,-0.12548527511326596,0,0,0
-0.24258426822869694,0.01676185801990755,7.955066456021683,0.15810609535860182,-10.903983482707787,-0.16444848345497293,0,0,0
-0.1968894178855436,0.022444643869341974,8.26840507050531,0.2034899654960043,-11.193776547483196,-0.19918168020427912,0,0,0
-0.1508542676760527,0.026076999889086495,8.58699748606952,0.23595897914383385,-11.479721447914784,-0.22436354963477925,0,0,0
-0.10961937766555252,0.02694013311326131,8.893110381453937,0.25399554594509655,-11.749682886456327,-0.23800755415857963,0,0,0
-0.07691876694667599,0.024951485514404226,9.175797164592552,0.25913165084802187,-11.998911951323066,-0.2410511556127261,0,0,0
-0.05515190192970465,0.020635331294947434,9.429786906047866,0.25487599310852715,-12.22716861589251,-0.2364515040390643,0,0,0
-0.045406090901437324,0.014911854092176213,9.654737382303182,0.2455530042704396,-12.43644683058389,-0.22811056872780283,0,0,0
-0.047242684617415875,0.008785289338536017,9.855078912440035,0.2353400821816905,-12.630276018372001,-0.21988717928853418,0,0,0
-0.05847544039124841,0.0030492119844637957,10.03967315957837,0.2276459295549472,-12.814127142136641,-0.2148882946766463,0,0,0
-0.07536213410189418,-0.0018780071980842195,10.220513862280683,0.2248198149318455,-12.995804591032197,-0.21512945186496496,0,0,0
-0.09346572730693481,-0.005934932126224623,10.410596498726079,0.22805919709876435,-13.185089169985815,-0.22150031075073856,0,0,0
-0.10903652450018342,-0.00925474033011824,10.621805892322215,0.23735292961965798,-13.392648340368538,-0.23384989707216733,0,0,0
-0.12036214783141475,-0.011960425196221536,10.863456781618993,0.2513937018791722,-13.628604394681247,-0.25102518825512166,0,0,0
-0.12839944964639471,-0.0140171118440378,11.141308530772392,0.26756104059029157,-13.900977405105976,-0.27085298026866556,0,0,0
-0.13626808820892222,-0.015191321548034865,11.456389135580196,0.2821793186436821,-14.213915058830452,-0.29022172096744325,0,0,0
-0.14769930523088703,-0.015107578753330131,11.803316202244446,0.29118740872102367,-14.565667586614182,-0.30546165321727586,0,0,0
-0.16501034286365268,-0.013351987129240683,12.168674401094904,0.2911434161638823,-14.946698713135106,-0.31309787621640905,0,0,0
-0.18741380305779387,-0.009567484110010582,12.53068931834295,0.28026839544994003,-15.338805821058656,-0.3108294401915316,0,0,0
