Pitch_Normalized,Delta_Pitch_Smoothed,Roll_Normalized,Delta_Roll_Smoothed,Yaw_Normalized,Delta_Yaw_Smoothed,Label1_Move,Label2_Bend,Label4_Speed
0.009939867632979826,0.001865330529989251,1.043310055133034,-0.1877003407708429,-0.7734949270859133,0.15619040674019685,0,0,0
0.0136741091580177,0.0007896555227233648,0.8433497953051585,-0.2057954983925304,-0.5696233638957722,0.15977997926452994,0,0,0
0.017167297045745045,-0.0007934967515166948,0.6282625993968765,-0.21689115646196505,-0.372098598601994,0.1591721533818813,0,0,0
0.019517512950358196,-0.002719866957889394,0.3828534358851101,-0.21819999183861505,-0.17979174102745077,0.153143123005548,0,0,0
0.01926652028292608,-0.004709319961043611,0.1048083512788196,-0.20774160216635884,0.007457106615071041,0.14021378481732288,0,0,0
0.014677800769320015,-0.006430528579817007,-0.1914629352221482,-0.18508490728690957,0.18518494850126643,0.1195072162764987,0,0,0
0.004385390372362963,-0.008356221429862387,-0.4749280401007212,-0.16696999472552249,0.34071014658725574,0.10063723210089179,0,0,0
-0.011819068030135327,-0.010036519176810543,-0.7022898795758863,-0.11379504709386339,0.4516500569584707,0.04972166066406984,0,0,0
-0.03244401201641267,-0.010891797225019673,-0.8263643643641956,-0.048941618783896954,0.4884291362699926,-0.008394156486782123,0,0,0
-0.05436541816519025,-0.010901662083729492,-0.8075390177360617,0.020551681264045385,0.4215772356790737,-0.06638454299658036,0,0,0
-0.07362234666564405,-0.010257336398662175,-0.6263898921221909,0.08355782654393522,0.23287739392300466,-0.11377521586048758,0,0,0
-0.08669108261008773,-0.009338062781516498,-0.29460067563347536,0.12617229616688946,-0.07240675725507373,-0.1381602593730804,0,0,0
-0.09175067520445168,-0.008669621926881633,0.1388464115579069,0.13424802165041427,-0.45604016346981524,-0.12744035941325293,0,0,0
-0.08949910788693671,-0.00886404981730351,0.588370248525564,0.09694118034329051,-0.8436371709932544,-0.0729791367675631,0,0,0
-0.08330684370369568,-0.010538488850956184,0.9403866167181718,0.010506469946672325,-1.1302950519898047,0.026961065479186176,0,0,0
-0.07870282704584497,-0.014223192812556818,1.0702600264467463,-0.11896717686919374,-1.1964176452295376,0.16472749656143862,0,0,0
-0.08231082889645336,-0.02028477404165585,0.8675521764034215,-0.2752508458137399,-0.9336934475452736,0.32307272410713495,0,0,0
-0.10045956620317043,-0.028893267553998216,0.26712192385701883,-0.4347207183150374,-0.2781413107171602,0.4778774251933989,0,0,0
-0.13782890052597452,-0.04004078522277865,-0.7212996648974723,-0.5714602358503071,0.7580397910618544,0.6031492001984908,0,0,0
-0.19659734629075842,-0.05358704343828293,-1.997210786427999,-0.6629304893717404,2.06885220129346,0.6765626248690836,0,0,0
-0.27647008708220255,-0.06928863225226962,-3.3788983502595897,-0.6942822394884403,3.463604634994354,0.6836667549240708,0,0,0
-0.3756237581500699,-0.08678333998868197,-4.641807858783849,-0.6602633624447762,4.706367494678915,0.6197474534237465,0,0,0
-0.4921585274322382,-0.10554259415174556,-5.575755946945165,-0.5649182784059803,5.575451838515093,0.4895505435773984,0,0,0
-0.625369542269766,-0.12484009002888855,-6.0409346451918395,-0.42006640398571876,5.921989077697582,0.3058474325594688,0,0,0
-0.7761931662263919,-0.14377583260878737,-6.00243577816623,-0.24349148406117962,5.706372497250904,0.0877507825660139,0,0,0
-0.9465362269326647,-0.1613485912726773,-5.532373598001016,-0.05708681916216278,5.001056889007927,-0.1410344394998873,0,0,0
-1.137736770413909,-0.17653861571270396,-4.781630607656382,0.11547891618327241,3.9618119882287104,-0.354544100216696,0,0,0
-1.3488604664920558,-0.18837899382757683,-3.9335421160001687,0.25205314109966964,2.7803330148775274,-0.5280108845568272,0,0,0
-1.5755872266138482,-0.19602809929378395,-3.1562145055092685,0.33602328749716437,1.6355476167219933,-0.6422100537193358,0,0,0
-1.8100832590175315,-0.19886174359192382,-2.568078978049627,0.35997138416246344,0.6585078062945868,-0.6875075513358766,0,0,0
-2.0418562442092423,-0.19658020661572523,-2.2241091884268656,0.32754889529894343,-0.08183636717260612,-0.6660703238296222,0,0,0
-2.2594136964258382,-0.18929760034651794,-2.121276447787153,0.2526652998807265,-0.5737413508893567,-0.5912204524925692,0,0,0
-2.4524395203700777,-0.17756471117972836,-2.2155230719735215,0.15605322780166092,-0.8466486986782655,-0.483962507324695,0,0,0
