Time(s),Pitch_Normalized,Delta_Pitch_Smoothed,Label
0.039,-0.008850618754905781,-0.07308759490535692,0
0.089,-0.1369826760301862,-0.05261224306446385,0
0.139,-0.25347986781503096,-0.022525317166298464,0
0.189,-0.34094159487558784,0.0151405108329552,0
0.239,-0.3742885932816904,0.0571728671450826,0
0.289,-0.32452407714168885,0.09964672321134031,0
0.34,-0.16652783891899503,0.15253803121416212,0
0.388,0.11227346790873582,0.21819797415472095,0
0.438,0.5057051855508377,0.2784165469873372,0
0.488,0.9876166133584974,0.32864567008831924,0
0.538,1.5165296933867154,0.36543291248589327,0
0.588,2.0449970655170233,0.38667564499633755,0
0.638,2.530685602058341,0.3918322014817576,0
0.688,2.945515106007605,0.3820000045304909,0
0.738,3.2800405315772423,0.35977195891818925,0
0.788,3.5422323728216867,0.3288352413526269,0
0.838,3.7517941758985813,0.29336587591701146,0
0.887,3.9322735132136444,0.25735689152934355,0
0.938,4.10342477473273,0.22405039212890757,0
0.987,4.275969026884766,0.1956108853848164,0
1.037,4.45018845255683,0.17308836961304905,0
1.087,4.618565980810459,0.1565996442327517,0
1.137,4.771189523347417,0.14557316965167216,0
1.187,4.901623959855769,0.13893477818027405,0
1.238,5.010924227707733,0.13523720689769334,0
1.287,5.108228815149204,0.13282104798443867,0
1.337,5.207525872415303,0.13005064674480593,0
1.387,5.321621295016385,0.12557519798944128,0
1.437,5.455796843709663,0.11854772203222694,0
1.486,5.604179506729153,0.10877830165729704,0
1.536,5.750694920004889,0.09679873289791488,0
1.586,5.874317960704872,0.08377654294303767,0
1.636,5.956666743669686,0.07125319961488116,0
1.686,5.989406976428739,0.060811798373070755,0
1.737,5.978911556686882,0.05384555063349552,0
1.787,5.94599424457958,0.05148411105450919,0
1.837,5.920057868564115,0.05455367265010267,0
1.887,5.929739278747093,0.06340667640999272,0
1.937,5.9942523500446185,0.0776057758200892,0
1.987,6.119020617274245,0.09564015816045099,0
2.037,6.296231646505916,0.11492672593299744,0
2.085,6.508384724804799,0.13224775710022954,0
2.135,6.732724501870578,0.14455023467776015,0
2.185,6.945808558033249,0.1498048196845531,0
2.236,7.128178816016856,0.1475498000330262,0
2.285,7.268471815581876,0.138901366238413,0
2.335,7.365560215341716,0.12609568718040975,0
2.386,7.427787475592623,0.1118317684413384,0
2.436,7.4697503503748806,0.09867657781749131,0
2.486,7.508034279658375,0.08863742828688145,0
2.536,7.557188518310014,0.08287902245930497,0
2.585,7.626702409218183,0.08157233100046284,0
2.636,7.719490280045491,0.08394816594119447,0
2.685,7.832182840902064,0.08864881316266918,0
2.734,7.956969040609906,0.09437281608711175,0
2.784,8.084195125586504,0.10066100883685607,0
2.834,8.205041874753661,0.10856463697453336,0
2.884,8.314275607219315,0.12091093498726906,0
2.935,8.413478511245998,0.14196444783927403,0
2.985,8.514644368026936,0.17648315637088388,0
3.035,8.642834888055347,0.22841338618234772,0
3.085,8.835811759090873,0.29961978060817673,0
3.135,9.139134758438232,0.38904629160998355,0
3.185,9.597014404610903,0.4926092349959859,0
3.235,10.241102902433383,0.603976907742944,0
3.285,11.080392931668271,0.716155441716775,0
3.335,12.095504790853497,0.8234711813173575,0
3.384,13.240367957179174,0.9232357147016955,0
3.435,14.453247588675438,1.016317914979996,0
3.484,15.676198785194686,1.1062137637733387,1
3.534,16.877546701228923,1.1969446475378405,1
