Time(s),Roll_Filtered,Pitch_Filtered,Yaw_Filtered,Label
0.046,24.65822853109555,-74.41548000747179,-58.66317748204228,0
0.096,24.570342011988807,-74.39026291754094,-58.6271393594531,0
0.146,24.531382996291033,-74.3726375942969,-58.638658009477496,0
0.196,24.58493324051437,-74.37066971155109,-58.737273968158554,0
0.246,24.75709257472096,-74.39284539821587,-58.94164799879089,0
0.296,25.045314017298136,-74.44646847113795,-59.240279715365816,0
0.346,25.410519968775972,-74.53541977647414,-59.58730273042808,0
0.396,25.778324556926215,-74.6583366511009,-59.907489922978165,0
0.446,26.05342512678435,-74.8084162045008,-60.11233186468687,0
0.496,26.145790524950986,-74.97552660838085,-60.12421493850744,0
0.547,26.000869704093066,-75.15025140887063,-59.90100025973809,0
0.596,25.622712971752094,-75.32837906218998,-59.451951689835425,0
0.646,25.0807477694352,-75.51377850106485,-58.83903707377644,0
0.696,24.496794756780478,-75.71799802229616,-58.16323306707486,0
0.746,24.015805545669277,-75.95628006042905,-57.540581067618355,0
0.796,23.76907377587263,-76.24138775889878,-57.075346340085666,0
0.845,23.840731522608504,-76.57774038307552,-56.83736367221299,0
0.895,24.246781765408105,-76.9582199235658,-56.84833875059216,0
0.944,24.93150955755208,-77.3647919006624,-57.07881572077634,0
0.994,25.78062593826657,-77.77253729511386,-57.45486263830129,0
1.044,26.645983053874108,-78.15556661895371,-57.871848167740225,0
1.094,27.37452285329641,-78.49288803521853,-58.2119735321889,0
1.145,27.83435309941911,-78.77255442239782,-58.362119917097424,0
1.194,27.93259572456797,-78.9931166994621,-58.22875833171385,0
1.245,27.622111071125083,-79.16231509289155,-57.74723418286092,0
1.295,26.896999302443742,-79.29371344552514,-56.88392734741823,0
1.345,25.779388754868677,-79.40231547450071,-55.631388022572615,0
1.395,24.301646910275238,-79.50004271134586,-53.997973384158165,0
1.444,22.488529331966294,-79.5915549131542,-51.994522396395695,0
1.494,20.343468389965775,-79.67062117210172,-49.62149024311081,0
1.544,17.842801734543876,-79.71734056185163,-46.86084612716691,0
1.595,14.941062861205166,-79.69692875454278,-43.67724545900252,0
1.643,11.588552985789367,-79.56121002090343,-40.031302096572546,0
1.694,7.758610635944591,-79.25390276468467,-35.90361729635599,0
1.744,3.477119946104697,-78.71991743607538,-31.32272653438515,0
1.794,-1.156690661088146,-77.91732172089274,-26.38605295529027,0
1.844,-5.968521688679863,-76.82900197479579,-21.263055907759593,0
1.893,-10.731094928828828,-75.47016702189809,-16.17491726167355,0
1.943,-15.205967842613859,-73.88826887566745,-11.353577086262527,0
1.994,-19.192704747710224,-72.15376309639404,-6.991204388866226,0
2.043,-22.569186942272776,-70.34300180504665,-3.19576500737035,0
2.093,-25.309364610824893,-68.51758667869889,0.032689486923002914,0
2.142,-27.47278691597028,-66.70653029969174,2.796638165256403,0
2.192,-29.170540124733776,-64.89745240209514,5.267361739342012,0
2.243,-30.520723522811654,-63.04034431661419,7.632620785641323,0
2.292,-31.61010201651328,-61.062991274318655,10.04175240094311,0
2.342,-32.475586560335046,-58.89276478741243,12.56552373272634,0
2.392,-33.11040454952738,-56.47697684107165,15.183076041969384,0
2.442,-33.4886685358246,-53.79432017512539,17.79796208607951,0
2.492,-33.59398298173056,-50.85322143455916,20.274019310978797,0
2.542,-33.43728669454837,-47.6783672322019,22.475324833271245,0
2.592,-33.05664887070169,-44.292279554422166,24.295915601190497,1
2.642,-32.50270940903223,-40.7020430877642,25.672967712318435,1
2.692,-31.821357628632633,-36.89998186286795,26.586651501918183,1
2.742,-31.04562870471267,-32.88065385171849,27.054980499418605,1
2.792,-30.201734799917165,-28.66704187019455,27.129876212316418,1
2.841,-29.323974100991318,-24.331230256899737,26.894250333775915,1
2.891,-28.46625381809832,-19.99472071335632,26.455364453004417,1
2.941,-27.69891430070653,-15.802726139749831,25.93099905458302,1
2.991,-27.088572501790093,-11.881011057834678,25.43041795908445,1
3.041,-26.67043414909044,-8.29479710132831,25.036633086032374,1
3.091,-26.42908962659173,-5.02996745889994,24.79634726105417,1
3.141,-26.300376200074716,-2.00663462347168,24.719763554079808,1
3.191,-26.195410209008553,0.8797827923358141,24.78786394695469,1
3.24,-26.03566259832882,3.70646914318779,24.96297904606953,1
3.29,-25.78229665756261,6.480650992282664,25.19966047227698,1
3.34,-25.44666990491662,9.123702011836931,25.45473779201387,1
3.39,-25.079108336658667,11.489703044751304,25.69597606497632,1
3.44,-24.743599888599046,13.412896265521947,25.907978754909028,1
3.49,-24.49124157851093,14.76571864031115,26.093377320724535,1
3.54,-24.343341630021374,15.503902012705092,26.268179622712733,1
3.59,-24.288604796017722,15.681274891252448,26.452404573986012,1
3.641,-24.292131281482476,15.430791591899986,26.65952390487717,1
3.691,-24.310145410892947,14.92187018867203,26.88910163128143,1
3.741,-24.304158923328245,14.311066706815103,27.12560349406532,1
3.791,-24.250456496397703,13.702066020506258,27.343444607781144,1
3.841,-24.143524054994355,13.12453751094609,27.51568822814605,1
3.89,-23.994120387041498,12.533754334878973,27.62270356201768,1
3.939,-23.82387617743894,11.827247062660962,27.657668501109555,1
3.989,-23.65871115676551,10.872024089081025,27.627414187108176,1
4.039,-23.52306266480727,9.535120601823252,27.54900463918244,1
4.089,-23.43614083534599,7.710511293531492,27.443977457784662,1
4.14,-23.410600524271036,5.336803407827928,27.33275640369428,1
4.19,-23.45341605507154,2.4030485322342074,27.23112405106138,1
4.239,-23.568302172799623,-1.0559793194395068,27.14919603349562,1
4.29,-23.758632700786613,-4.970414624436152,27.091916568964763,1
4.34,-24.029527945354126,-9.246715546528796,27.059456430988202,1
4.389,-24.387844178322865,-13.7771876967233,27.046297711006847,1
4.44,-24.839460163005256,-18.44803954342182,27.03889704929495,1
4.489,-25.384418544423816,-23.147571104083276,27.01288404114459,1
4.54,-26.01145735734234,-27.775049990802856,26.931134819169593,1
4.589,-26.693549775628075,-32.249290047489886,26.74377626338562,1
4.639,-27.385431995917468,-36.51536176416303,26.39085093153577,1
4.689,-28.023734951611612,-40.54809601672326,25.80852452548344,1
4.738,-28.530898505132022,-44.35136276955535,24.940046478049034,1
4.788,-28.824914077394986,-47.952537812904716,23.752127040220252,0
4.838,-28.83648517776747,-51.39262527099564,22.255049440851995,0
4.888,-28.532045832955028,-54.714019473984116,20.52088093192559,0
4.938,-27.935592048431324,-57.948974887196385,18.690231764777185,0
4.989,-27.137143719450897,-61.111884334451446,16.956795373179617,0
5.039,-26.274709974203766,-64.1974417575752,15.52273464843151,0
5.089,-25.482475928416783,-67.18485416080087,14.527035794526986,0
5.138,-24.810173704726793,-70.04585530510819,13.960474607975575,0
5.188,-24.133976402361814,-72.75245102534905,13.590801540983762,0
5.237,-23.092592080417287,-75.28046289199013,12.927187804324403,0
5.287,-21.087215872371665,-77.60738631387626,11.25197635268883,0
5.337,-17.37445628572121,-79.70658728438583,7.737687332130093,0
5.387,-11.254337888239707,-81.54238564658193,1.644969878239908,0
5.437,-2.3153638802607714,-83.07057925918525,-7.436229260993202,0
5.487,9.340442790667945,-84.24627275066072,-19.3742448799439,0
5.537,22.986253936171817,-85.03681985304553,-33.39949026404926,0
5.587,37.34251911570579,-85.43449995484869,-48.18964592759541,0
5.637,50.83692952709928,-85.46310236845653,-62.13892297125906,0
5.687,61.97720802996587,-85.17525811874354,-73.7360257087887,0
5.737,69.70964448710787,-84.6417177100845,-81.92359537419773,0
5.787,73.64140247265306,-83.93736322318887,-86.31707892731079,0
5.837,74.06283797214626,-83.12955777252562,-87.22013828216143,0
5.886,71.78461676095705,-82.27228132976312,-85.45375752632313,0
5.937,67.86568608372488,-81.40604863843902,-82.07822441005624,0
5.987,63.33068288329469,-80.56099663894267,-78.10890740473215,0
6.037,58.95943340921483,-79.75990650089898,-74.3088668823815,0
6.086,55.19179610457315,-79.01906387488438,-71.09981627022778,0
6.136,52.14702711259961,-78.34676759346114,-68.58759288987332,0
6.186,49.72302662280721,-77.7409542304012,-66.66464640391465,0
6.236,47.72518259774394,-77.18816751095044,-65.13799955644862,0
6.286,45.977638937408074,-76.66574819567003,-63.83648024084185,0
6.336,44.386496047647505,-76.14779723740769,-62.66938132516017,0
6.386,42.94705138087284,-75.6136309364376,-61.63143022013452,0
6.436,41.708302352447454,-75.0558216896472,-60.76847388436122,0
6.486,40.721189252788584,-74.48438389390026,-60.129129218647655,0
6.535,39.99812363178456,-73.92489226492752,-59.72707416146855,0
6.585,39.50049914588716,-73.4110220978535,-59.52822730121835,0
6.635,39.1542225048979,-72.97462603808553,-59.46276757354886,0
6.685,38.8798948460614,-72.63727938603576,-59.451061671137005,0
6.735,38.62046308973971,-72.40590809322259,-59.42939277174921,0
6.785,38.354646784431885,-72.27287240738838,-59.36525478538852,0
6.835,38.093755751302965,-72.21915933784099,-59.258899688415916,0
6.885,37.86703287043892,-72.21878877153381,-59.1338350674139,0
6.935,37.70384863435983,-72.2430058460214,-59.02215242695234,0
6.985,37.62018455047916,-72.2637551029831,-58.95086895774801,0
7.035,37.613465296964954,-72.25666942624424,-58.93366828209069,0
7.085,37.66580191433002,-72.20392554456566,-58.96953822129734,0
7.135,37.75256761526834,-72.0968491529072,-59.046933953924615,0
7.185,37.85181921948351,-71.93757019294509,-59.15031932850803,0
7.235,37.95058621566185,-71.7388484846026,-59.265823322222694,0
7.285,38.04591797855385,-71.52156827312967,-59.3839665019875,0
