Time(s),Roll_Filtered,Pitch_Filtered,Yaw_Filtered,Label
1.956,-28.348725968120263,-59.602321828396924,-1.1550377196359,0
2.005,-29.535814199595936,-59.0115140894155,0.8733965485954344,0
2.055,-30.790065629848254,-58.0382138741695,3.1997785819907465,0
2.105,-32.0281975621808,-56.5663309641613,5.81426186511144,0
2.155,-33.134698669380846,-54.561279190552234,8.62017665597856,0
2.205,-34.00038767785009,-52.09133271218353,11.45245435319605,0
2.255,-34.55938043214431,-49.32403723603673,14.117259891948327,0
2.305,-34.809158068876364,-46.49549434796324,16.440420576024742,0
2.356,-34.80645281726037,-43.85918573910832,18.309286887577468,1
2.406,-34.64309506227833,-41.628608977056274,19.69552658226379,1
2.455,-34.414227737934226,-39.93070626336954,20.653679419103895,1
2.505,-34.19242862826236,-38.7836304055136,21.298721898653344,1
2.555,-34.01603238725489,-38.10450382043457,21.771810592853573,1
2.605,-33.89218437830851,-37.74341820277656,22.204972795263778,1
2.655,-33.80899763254536,-37.53186336299342,22.693449838933514,1
2.705,-33.74900977373674,-37.32967976062203,23.280724481316525,1
2.755,-33.6980135196499,-37.056104608948935,23.957729524209824,1
2.805,-33.64741101777837,-36.69692266461422,24.674872840221948,1
2.855,-33.59193611361285,-36.2884143276843,25.363061387382594,1
2.905,-33.52609124203357,-35.88633578210309,25.957867270625865,1
2.955,-33.44186789063859,-35.53212625571671,26.42004580572299,1
3.005,-33.32861689602095,-35.2282132982233,26.746556487786364,1
3.054,-33.174801512952904,-34.93046738385436,26.969126455618333,1
3.105,-32.97117850502228,-34.55996270330458,27.14147660652573,1
3.154,-32.71493949510112,-34.02971359586752,27.320260866868864,1
3.204,-32.41376637310612,-33.27666035129148,27.54695266853889,1
3.254,-32.08789691680787,-32.28685866851668,27.83718893521765,1
3.304,-31.768177884532115,-31.10396047506415,28.180611828195143,1
3.354,-31.489348216239446,-29.817179128389146,28.54972867506535,1
3.404,-31.280042663075776,-28.532625742973227,28.91301447731636,1
3.453,-31.153043535084226,-27.33814106381455,29.24676481891329,1
3.504,-31.09991822621083,-26.274226785885404,29.54180468033729,1
3.554,-31.09281267342662,-25.32163798720758,29.803796091555597,1
3.603,-31.0932645032059,-24.410422382884718,30.048298084711135,1
3.653,-31.064747346516267,-23.447528686247047,30.293158044684546,1
3.703,-30.983842927651512,-22.35300027327885,30.551085697234672,1
3.752,-30.84551527533977,-21.09100050227409,30.824719780224086,1
3.802,-30.66077056552121,-19.683775090703275,31.105601568836775,1
3.852,-30.448583574620223,-18.203967744977135,31.37733545828658,1
3.903,-30.226412218456016,-16.749716012456826,31.621797042092094,1
3.952,-30.00369847061437,-15.412983316863144,31.82596473751396,1
4.002,-29.780749934743646,-14.252919055263487,31.98664469065834,1
4.053,-29.552627972049734,-13.283568642940756,32.11140424716566,1
4.103,-29.315436754488072,-12.479546527898886,32.21581321827879,1
4.153,-29.07152554400264,-11.795388179418811,32.318551866864325,1
4.203,-28.83091015784924,-11.188087392128802,32.436424045319,1
4.252,-28.6083224363382,-10.631897842634885,32.58083113742968,1
4.301,-28.41756862572898,-10.119691988306116,32.75626582277496,1
4.352,-28.266026034918866,-9.652265637548435,32.96047706677928,1
4.402,-28.151627697794904,-9.222363557951414,33.18558374542567,1
4.452,-28.06320510973744,-8.802097935749545,33.419560431468746,1
4.501,-27.98367010824375,-8.340511709122248,33.647850965641524,1
4.551,-27.89479242053487,-7.773289303936256,33.85514421784577,1
4.601,-27.782117782285233,-7.041189138069777,34.027484339877915,1
4.652,-27.638579190761497,-6.110082481000586,34.154760535112,1
4.702,-27.465630916209612,-4.984977606352375,34.23317785338473,1
4.751,-27.271530533164366,-3.7129273953246793,34.266832593988596,1
4.801,-27.06762348496252,-2.373914584277828,34.267499551149605,1
4.852,-26.864488486345756,-1.0630044564614969,34.25239418992606,1
4.901,-26.669824329397162,0.13021855396098106,34.240599560991974,1
4.951,-26.488872376716365,1.1385662718892833,34.24934146871963,1
5.001,-26.326622202317456,1.9260975639223565,34.29106077151729,1
5.051,-26.189942351858722,2.487649730534736,34.37167214027869,1
5.101,-26.08770242823041,2.840891230904151,34.490083050680916,1
5.151,-26.02796287524726,3.014961173621961,34.639044638869755,1
5.201,-26.01296498139119,3.0405301730776966,34.80733319562808,1
5.251,-26.034210094715124,2.9448682802870305,34.9828431055916,1
5.3,-26.070598365061493,2.752512577259471,35.1556049934262,1
5.35,-26.091809807689838,2.4890321041416597,35.31956183206477,1
5.4,-26.066781381920947,2.1840577782547546,35.47249456482788,1
5.45,-25.974264438131247,1.8707026218476213,35.61449236534301,1
5.5,-25.810905464774383,1.5808690872964586,35.74607115624824,1
5.55,-25.593289417691434,1.338411007997814,35.86700902780445,1
5.599,-25.353267775242625,1.1534762111577075,35.97637823343946,1
5.649,-25.128836878947183,1.0208828854084464,36.07357139411749,1
5.699,-24.954347923422873,0.9234129142671672,36.15964900260164,1
5.749,-24.85343553606688,0.8386589103695637,36.23819761660132,1
5.799,-24.83619354769566,0.7466915690349782,36.31512809646676,1
5.849,-24.899954562927377,0.6357838324195689,36.39737557483452,1
5.899,-25.031821827307102,0.5045368249576037,36.491009580145786,1
5.949,-25.21138358528895,0.360347380201935,36.59950329968636,1
5.999,-25.413220954535053,0.21546648485456718,36.72274286376105,1
6.048,-25.60976944764801,0.08245819344972487,36.85697674523388,1
6.098,-25.77508543466597,-0.029333219600312353,36.99559568691453,1
6.148,-25.889250889234738,-0.11543021952123327,37.130497950741514,1
6.199,-25.942257139805353,-0.17605810240280176,37.25373360381806,1
6.249,-25.935919488493425,-0.215075277994371,37.35903463356817,1
6.299,-25.882901564832885,-0.23929549020458246,37.44277511096796,1
6.349,-25.802996441423545,-0.25928048045481633,37.50402074200727,1
6.399,-25.71785696694499,-0.2918685527759742,37.5436869064103,1
6.449,-25.645856554098884,-0.3635432871562142,37.5632618104567,1
6.499,-25.59851320363467,-0.5127416173300072,37.56376721213389,1
6.549,-25.57917704804496,-0.7889891881511768,37.54547220614081,1
6.599,-25.58391370203058,-1.247743179908429,37.50846221787036,1
6.648,-25.604011105847512,-1.9417941191095023,37.453733770347164,1
6.698,-25.62928218756575,-2.912028179183835,37.38423440171554,1
6.748,-25.651183384624613,-4.180914559725202,37.305306058324355,1
6.798,-25.664787732215455,-5.750558601175217,37.22429855682788,1
6.848,-25.669123127901784,-7.604462570541388,37.14952201371956,1
6.898,-25.66629750907522,-9.710347612677179,37.08897886506908,1
6.948,-25.660543255522654,-12.021867428470342,37.049342835463456,1
6.998,-25.65809362668138,-14.479089867353645,37.03547708369598,1
7.048,-25.667716023716956,-17.00936908173095,37.0505325448817,1
7.098,-25.700708967601052,-19.5305273168043,37.09643692121303,1
7.148,-25.76918089371558,-21.95738297965618,37.17439338755877,1
7.198,-25.882581786859465,-24.211465741390715,37.284895210418476,1
7.248,-26.043930815052445,-26.232642021461587,37.42689583566809,1
7.297,-26.247895580526762,-27.990225467596893,37.596299216979254,1
7.347,-26.482278129532766,-29.4902350662583,37.78466331938021,1
7.398,-26.732781264224528,-30.775637850585678,37.979378941448765,1
7.448,-26.98901223514792,-31.918136197954357,38.16608334546054,1
7.498,-27.24866902222659,-33.00281833224001,38.33274383306867,1
7.547,-27.51756665108564,-34.109699001800095,38.47341325420772,1
7.597,-27.805383285955802,-35.29764359108672,38.58914911378443,1
7.647,-28.119432283630623,-36.595548746738885,38.68475365509719,1
7.696,-28.459832829532356,-38.00301065533004,38.76252439504322,1
7.746,-28.81844621712492,-39.49905785641009,38.816479795862904,1
7.796,-29.181573275577307,-41.05441243331785,38.83078488934588,1
7.846,-29.53430955048639,-42.641708888384784,38.78405794178467,1
7.896,-29.8639601896654,-44.239711195251786,38.65818522699989,1
7.946,-30.161114239527212,-45.83091111163179,38.44787274156019,0
7.996,-30.41881668042207,-47.39530047832728,38.166477781250954,0
8.045,-30.631433149526966,-48.905077107490904,37.84485959706745,0
8.096,-30.79458548816119,-50.32456570679572,37.5224815208806,0
8.146,-30.906296696817872,-51.61670705552258,37.2328892258054,0
8.196,-30.968305754384737,-52.75357029578241,36.988192955813425,0
8.246,-30.98633423214874,-53.725870501982364,36.76854096948789,0
8.296,-30.968912014591066,-54.54708004054623,36.52185593628717,0
8.346,-30.92533113272899,-55.250879718491774,36.17579598295963,0
8.396,-30.86356092243749,-55.88397559265096,35.65897710283976,0
8.446,-30.788533081546944,-56.49749729938599,34.92430047972567,0
8.496,-30.700777447615003,-57.13922203818356,33.965804742515886,0
8.546,-30.59544368469024,-57.847402310701824,32.82241483588969,0
8.596,-30.4620705841759,-58.64637302798794,31.566785211193206,0
8.646,-30.28552037802068,-59.54429452397217,30.283546909720897,0
8.695,-30.04801986205149,-60.53352445184682,29.04561027124494,0
8.745,-29.731526698089116,-61.593725665129796,27.89689509820641,0
8.795,-29.319302788811257,-62.69705458775606,26.84533803470509,0
8.845,-28.796073281207665,-63.81408783091553,25.864979475584995,0
8.895,-28.147270924894645,-64.91896941787536,24.903792464992748,0
8.945,-27.35882694163983,-65.99271305895002,23.894803463462324,0
8.995,-26.41894214263376,-67.02431095055361,22.769462954877458,0
9.045,-25.32201656544624,-68.00981355012962,21.471986154311416,0
9.095,-24.07317255984903,-68.94982942600112,19.971727399338928,0
9.144,-22.690876486275027,-69.84623988810888,18.26963606616135,0
9.194,-21.205770870354726,-70.69929595434738,16.396087139530707,0
9.244,-19.655507482598363,-71.50623341356828,14.400561636469703,0
9.294,-18.077085482701982,-72.26190068578049,12.336984927962103,0
9.344,-16.499217520024633,-72.96098975838838,10.250164555433637,0
9.394,-14.937323101614117,-73.60076864816652,8.167864080550247,0
9.443,-13.392890520435152,-74.18291528990943,6.100195481667962,0
9.494,-11.85738863229028,-74.71319988141417,4.044808177645041,0
9.543,-10.319222470894111,-75.19852922305316,1.9943731835597753,0
9.594,-8.771217889404962,-75.64223245014395,-0.05713776575677475,0
9.643,-7.216312870672878,-76.03979279510101,-2.111174986422789,0
9.692,-5.6702379732673025,-76.37755366792832,-4.163919647589958,0
9.742,-4.161084413017056,-76.63580677906144,-6.206520921245626,0
9.792,-2.7261360440361355,-76.79561292027662,-8.225024492094883,0
9.842,-1.406269529910043,-76.84676996170634,-10.200264348818534,0
9.893,-0.23810820587648657,-76.79344931675027,-12.109381394912921,0
9.942,0.7555871506519586,-76.65465241890647,-13.930872632003355,0
9.992,1.5758553904899462,-76.45877270651505,-15.653629776667923,0
10.043,2.255031324965182,-76.2344381942917,-17.287647080279083,0
10.092,2.8583400596540343,-76.0019345321374,-18.87157355990827,0
10.142,3.477143735501172,-75.76936193112641,-20.472090731443963,0
10.193,4.213932276206219,-75.53505277305598,-22.172785834310712,0
10.242,5.16176023972191,-75.29423858568816,-24.054211511319927,0
10.293,6.3824079439165144,-75.045785392659,-26.170112967329107,0
10.341,7.888218659274486,-74.79528527433504,-28.526458330723536,0
10.393,9.632651943943989,-74.55331978149601,-31.069889119323935,0
10.442,11.513529221863019,-74.33049587324133,-33.690353506310316,0
10.493,13.390019045971671,-74.13228167001505,-36.23893965622629,0
10.543,15.110124274097403,-73.95628337790801,-38.557166966141324,0
10.592,16.54158961248293,-73.79302904019896,-40.50998294982645,0
10.642,17.597686893215364,-73.62957610369969,-42.013222945941095,0
10.692,18.25112236752125,-73.45416089994052,-43.04812972062224,0
10.742,18.53354949331541,-73.2599709531689,-43.659991929427896,0
10.792,18.52280642383986,-73.04672173704299,-43.9430841398533,0
10.842,18.322983528010866,-72.81960519820747,-44.01773405229393,0
10.892,18.04296432322862,-72.58604142896837,-44.00631778939749,0
10.942,17.777834538560995,-72.3514146011755,-44.01351016043307,0
10.992,17.59578900592527,-72.11549988024983,-44.11344841246914,0
11.042,17.531772832099932,-71.87130865120095,-44.34410324908685,0
11.092,17.588198154707687,-71.60732237072136,-44.70800383938233,0
11.142,17.74223981348324,-71.31263368324674,-45.178339178822675,0
11.191,17.95793644561926,-70.98295947700059,-45.70933024357293,0
11.241,18.199707429054463,-70.6247179605149,-46.248906233768814,0
11.291,18.442916074728863,-70.2550214338042,-46.75060873650077,0
11.341,18.677928461137707,-69.89737286389091,-47.18152761182585,0
11.391,18.906824657433813,-69.5749830387605,-47.52453539526185,0
11.441,19.13514531449323,-69.3046323188434,-47.775432854040425,0
11.491,19.36306340674507,-69.09338238924668,-47.93754867927683,0
11.541,19.58028682283541,-68.93881354422479,-48.01691806737894,0
11.591,19.76700094054279,-68.83187798909785,-48.02021067310921,0
11.641,19.9001636292627,-68.76064019602153,-47.955647392390155,0
11.69,19.96189797990056,-68.71330773911383,-47.83532475916098,0
11.74,19.94594346009849,-68.67979670646638,-47.67667801691496,0
11.79,19.8594617078947,-68.65205459574457,-47.50154662352952,0
11.84,19.719988905748647,-68.62388306934088,-47.33284794607134,0
11.891,19.549467002354003,-68.5908759932692,-47.19018068912991,0
11.94,19.368049220339998,-68.5506193376805,-47.086046532518566,0
11.99,19.18977463248989,-68.50292536255375,-47.023853792477055,0
12.04,19.02100215849318,-68.44980793508374,-46.99807815177472,0
12.09,18.861432170232877,-68.39507500542486,-46.99640124708512,0
12.14,18.706898083735535,-68.34360929783969,-47.003317625824664,0
12.19,18.55282538629004,-68.30048308157795,-47.00439743754453,0
12.24,18.39725283449331,-68.27002210841715,-46.990144822944615,0
12.29,18.242551567390542,-68.25490983222934,-46.958392536335374,0
12.34,18.095383538543068,-68.25547670067503,-46.91452169572734,0
12.389,17.964914271996793,-68.26940858191875,-46.86943158224735,0
12.439,17.859785106876696,-68.29211637048975,-46.83591279888133,0
12.49,17.784783312176256,-68.31783896291486,-46.82459625186853,0
12.539,17.73836856309852,-68.34123172916928,-46.84072616090783,0
12.589,17.712072816867295,-68.3589043799628,-46.88266961619822,0
12.639,17.692227942625326,-68.37032458844254,-46.94252270316055,0
12.689,17.663570595424268,-68.37774868964691,-47.00852530559155,0
12.739,17.61338900093173,-68.3852382795067,-47.068378000266094,0
12.789,17.53459341891767,-68.39716162268613,-47.11226225028414,0
12.839,17.4266892410736,-68.41671228460476,-47.13463667989132,0
12.888,17.294699876506,-68.44488298579631,-47.13455335595347,0
12.939,17.14689981019655,-68.48010778913194,-47.114868516125306,0
12.989,16.992400210403698,-68.51856645354479,-47.080995953169804,0
13.038,16.839315660664084,-68.55501684746636,-47.039730075287466,0
13.088,16.693754281521322,-68.58397685688902,-46.998303677558965,0
13.138,16.559473705348093,-68.60103815255356,-46.963519959326746,0
13.188,16.437909390676143,-68.60401742355651,-46.940792664794586,0
13.237,16.3284406198531,-68.59361376252738,-46.93325277141347,0
13.287,16.228975666051895,-68.57335047685385,-46.9413566475776,0
13.338,16.136879442782472,-68.54880739665607,-46.963273298438025,0
13.388,16.049918476426775,-68.52635566420824,-46.99582196674314,0
13.438,15.966637216242754,-68.5117125022382,-47.035356649070586,0
13.488,15.885776739326067,-68.50867131999804,-47.07810799457079,0
13.537,15.804979739603679,-68.51835380796621,-47.12000275700857,0
13.587,15.719685416633354,-68.53921891965275,-47.156476734883555,0
13.636,15.623297183477451,-68.5678122227462,-47.18289830421097,0
13.686,15.509141714845233,-68.59992940556664,-47.19583348171986,0
13.736,15.373667578766685,-68.63167467014502,-47.194757443869676,0
13.787,15.219448331417745,-68.6599773685394,-47.18337813029695,0
13.836,15.056492571820238,-68.68248634832803,-47.1697832044827,0
13.886,14.901121923955115,-68.69716068530282,-47.165093140821746,0
13.936,14.77268214626304,-68.70202557196944,-47.18088366020137,0
13.987,14.689066324471446,-68.69538035764893,-47.22606937477984,0
14.037,14.662324076444756,-68.6764060956072,-47.30414802818565,0
14.087,14.69559797667025,-68.64585356982803,-47.41168643667037,0
14.137,14.78229281603958,-68.60642099446511,-47.53864215972579,0
14.186,14.907731056494779,-68.56255517786911,-47.67055867502853,0
14.236,15.052735007847751,-68.5196579080043,-47.792009910910224,0
14.286,15.197947286841277,-68.4829322597872,-47.89019565903147,0
14.336,15.32755392178315,-68.45624080335914,-47.957546948459516,0
14.386,15.43145937052406,-68.44131997033041,-47.99263766051178,0
14.436,15.505667124304601,-68.4375570409266,-47.999416137921465,0
14.486,15.551261767325908,-68.44236799769008,-47.98536807577535,0
14.536,15.572644552320035,-68.45203749048011,-47.95936082790173,0
14.586,15.575556947222356,-68.46272037668074,-47.92965944153558,0
